from,to,time,support,generations
NA,1,20,0.06833333333333333,NA
NA,2,22,0.07777777777777778,NA
NA,3,20,0.06805555555555555,NA
212,4,150,0.019444444444444445,1
NA,5,23,0.07888888888888888,NA
NA,6,20,0.065,NA
NA,7,20,0.06388888888888888,NA
NA,8,20,0.0675,NA
NA,9,20,0.07055555555555555,NA
NA,10,20,0.07083333333333333,NA
18,11,39,0.23083333333333333,1
18,12,40,0.22333333333333333,1
NA,13,29,0.005,NA
67,14,88,0.043333333333333335,1
18,15,47,0.12527777777777777,1
36,16,69,0.12805555555555556,1
28,17,46,0.3527777777777778,1
NA,18,38,0.1827777777777778,NA
47,19,93,0.04,1
11,20,47,0.11611111111111111,1
18,21,47,0.12111111111111111,1
18,22,47,0.12083333333333333,1
18,23,45,0.15194444444444444,1
11,24,47,0.11777777777777777,1
18,25,47,0.1225,1
28,26,46,0.335,1
18,27,47,0.11833333333333333,1
26,28,46,0.3283333333333333,1
11,29,47,0.12611111111111112,1
18,30,47,0.11611111111111111,1
185,31,141,0.08722222222222223,1
18,32,47,0.12333333333333334,1
12,33,47,0.11861111111111111,1
11,34,47,0.11361111111111111,1
16,35,73,0.08388888888888889,1
34,36,60,0.07555555555555556,1
49,37,83,0.050555555555555555,1
36,38,70,0.11138888888888888,1
208,39,152,0.020277777777777777,1
35,40,79,0.06972222222222223,1
183,41,150,0.020833333333333332,1
49,42,83,0.055,1
35,43,83,0.058055555555555555,1
45,44,83,0.05583333333333333,1
16,45,74,0.08888888888888889,1
62,46,80,0.48277777777777775,1
50,47,83,0.05694444444444444,1
36,48,72,0.08638888888888889,1
36,49,73,0.08277777777777778,1
16,50,77,0.0825,1
190,51,151,0.17944444444444443,1
49,52,80,0.06694444444444445,1
49,53,80,0.06388888888888888,1
68,54,99,0.03666666666666667,1
45,55,84,0.050833333333333335,1
62,56,84,0.445,1
49,57,83,0.05333333333333334,1
16,58,83,0.050555555555555555,1
48,59,83,0.0525,1
49,60,83,0.05555555555555555,1
49,61,83,0.06027777777777778,1
46,62,79,0.3211111111111111,1
35,63,81,0.058611111111111114,1
48,64,83,0.05694444444444444,1
49,65,83,0.052222222222222225,1
35,66,83,0.05555555555555555,1
48,67,83,0.055,1
14,68,94,0.0375,1
88,69,117,0.05361111111111111,1
76,70,101,0.04138888888888889,1
