from,to,time,support,generations
12,1,43,0.05277777777777778,1
229,2,99,0.021666666666666667,1
4,3,16,0.3622222222222222,1
5,4,10,0.65,1
NA,5,6,0.24222222222222223,NA
7,6,25,0.23833333333333334,1
4,7,15,0.42,1
253,8,131,0.10333333333333333,1
253,9,132,0.09111111111111111,1
16,10,43,0.05388888888888889,1
3,11,23,0.2966666666666667,1
7,12,26,0.215,1
6,13,36,0.10944444444444444,1
16,14,47,0.03388888888888889,1
43,15,44,0.30444444444444446,1
12,16,36,0.115,1
54,17,44,0.495,1
68,18,46,0.1288888888888889,1
13,19,43,0.052222222222222225,1
30,20,46,0.6833333333333333,1
25,21,47,0.03666666666666667,1
36,22,48,0.03722222222222222,1
25,23,43,0.049444444444444444,1
33,24,43,0.049444444444444444,1
6,25,39,0.08722222222222223,1
50,26,50,0.03611111111111111,1
16,27,43,0.05333333333333334,1
16,28,47,0.03666666666666667,1
39,29,49,0.11722222222222223,1
6,30,38,0.07111111111111111,1
66,31,55,0.10111111111111111,1
224,32,104,0.029444444444444443,1
6,33,36,0.11833333333333333,1
33,34,46,0.03722222222222222,1
211,35,82,0.465,1
13,36,43,0.051666666666666666,1
78,37,57,0.025555555555555557,1
68,38,48,0.1361111111111111,1
68,39,44,0.15222222222222223,1
13,40,46,0.03611111111111111,1
101,41,65,0.29888888888888887,1
13,42,43.5,0.05555555555555555,1
15,43,47,0.6833333333333333,1
49,44,60,0.34833333333333333,1
26,45,56,0.028333333333333332,1
13,46,43,0.05388888888888889,1
33,47,46,0.04388888888888889,1
33,48,48,0.03777777777777778,1
30,49,49,0.49722222222222223,1
25,50,44,0.04555555555555556,1
13,51,43,0.058888888888888886,1
25,52,43,0.049444444444444444,1
16,53,43,0.04611111111111111,1
17,54,44,0.4911111111111111,1
72,55,46,0.1288888888888889,1
72,56,46,0.13166666666666665,1
13,57,48,0.034444444444444444,1
27,58,50,0.034444444444444444,1
13,59,45,0.051111111111111114,1
13,60,46,0.04,1
13,61,46,0.035555555555555556,1
16,62,46,0.04,1
33,63,43,0.04888888888888889,1
16,64,46,0.041666666666666664,1
72,65,46,0.13944444444444445,1
72,66,49,0.125,1
13,67,47,0.03166666666666667,1
72,68,43,0.14777777777777779,1
19,69,48,0.03222222222222222,1
72,70,49,0.12666666666666668,1
68,71,46,0.11944444444444445,1
39,72,43,0.14833333333333334,1
33,73,47,0.035,1
33,74,46,0.03833333333333333,1
67,75,56,0.03111111111111111,1
13,76,47,0.03722222222222222,1
265,77,122,0.12333333333333334,1
16,78,47.5,0.03666666666666667,1
87,79,62,0.03,1
10,80,51,0.035,1
59,81,56,0.02722222222222222,1
22,82,55,0.03,1
58,83,56,0.028333333333333332,1
92,84,62,0.030555555555555555,1
223,85,102,0.025,1
248,86,126,0.07055555555555555,1
73,87,56,0.03,1
192,88,85,0.01611111111111111,1
67,89,55,0.03222222222222222,1
93,90,68,0.03,1
87,91,65,0.025,1
14,92,56,0.027777777777777776,1
95,93,61,0.026111111111111113,1
69,94,56,0.02666666666666667,1
60,95,56,0.03333333333333333,1
84,96,69,0.02277777777777778,1
84,97,69,0.024444444444444446,1
84,98,65,0.02722222222222222,1
202,99,85,0.013888888888888888,1
101,100,65,0.29944444444444446,1
100,101,63,0.22333333333333333,1
91,102,69,0.025555555555555557,1
93,103,69,0.021666666666666667,1
94,104,69,0.024444444444444446,1
91,105,69,0.025555555555555557,1
117,106,80,0.017222222222222222,1
90,107,73,0.021111111111111112,1
93,108,69,0.028333333333333332,1
196,109,82,0.015,1
81,110,69,0.02277777777777778,1
101,111,65,0.2816666666666667,1
79,112,65,0.03277777777777778,1
84,113,69,0.025555555555555557,1
79,114,70,0.023333333333333334,1
131,115,80,0.01611111111111111,1
132,116,78,0.017222222222222222,1
84,117,67,0.02722222222222222,1
37,118,69,0.026111111111111113,1
93,119,69,0.02277777777777778,1
84,120,69,0.025,1
132,121,83,0.014444444444444444,1
93,122,69,0.025,1
79,123,69,0.026111111111111113,1
84,124,69,0.025555555555555557,1
105,125,80,0.01888888888888889,1
97,126,74,0.01888888888888889,1
91,127,71,0.02388888888888889,1
133,128,79,0.017222222222222222,1
93,129,69,0.024444444444444446,1
79,130,69,0.026111111111111113,1
79,131,69,0.027777777777777776,1
93,132,69,0.025,1
93,133,69,0.026111111111111113,1
102,134,78,0.016666666666666666,1
163,135,82,0.012777777777777779,1
110,136,80,0.017222222222222222,1
112,137,78,0.016666666666666666,1
122,138,80,0.020555555555555556,1
110,139,79,0.016666666666666666,1
103,140,79,0.016666666666666666,1
119,141,80,0.014444444444444444,1
96,142,76,0.025,1
124,143,80,0.01888888888888889,1
119,144,83,0.014444444444444444,1
220,145,94,0.016666666666666666,1
97,146,80,0.01611111111111111,1
97,147,80,0.016666666666666666,1
85,148,106,0.027777777777777776,1
134,149,84,0.013888888888888888,1
103,150,80,0.015555555555555555,1
120,151,79,0.01888888888888889,1
104,152,80,0.015555555555555555,1
131,153,82,0.017222222222222222,1
102,154,78,0.017777777777777778,1
102,155,80,0.015,1
105,156,80,0.01611111111111111,1
103,157,82,0.013888888888888888,1
113,158,80,0.023333333333333334,1
303,159,147,0.12222222222222222,1
280,160,141,0.6011111111111112,1
250,161,123,0.05611111111111111,1
234,162,105,0.027777777777777776,1
122,163,80,0.015,1
147,164,83,0.012777777777777779,1
119,165,79,0.016666666666666666,1
102,166,82,0.01611111111111111,1
132,167,80,0.02,1
103,168,79,0.01611111111111111,1
113,169,80,0.015555555555555555,1
120,170,82,0.012777777777777779,1
123,171,80,0.015555555555555555,1
120,172,79,0.015555555555555555,1
120,173,80,0.01611111111111111,1
117,174,80,0.017222222222222222,1
113,175,80,0.017777777777777778,1
105,176,82,0.013333333333333334,1
120,177,81,0.013888888888888888,1
104,178,82,0.014444444444444444,1
104,179,80,0.015,1
131,180,79,0.018333333333333333,1
132,181,82,0.016666666666666666,1
132,182,80,0.017777777777777778,1
108,183,81,0.015555555555555555,1
90,184,81,0.01611111111111111,1
142,185,83,0.013888888888888888,1
96,186,80,0.01611111111111111,1
102,187,79,0.018333333333333333,1
126,188,80,0.021111111111111112,1
123,189,80,0.01611111111111111,1
126,190,79,0.016666666666666666,1
107,191,79,0.015555555555555555,1
90,192,79.5,0.016666666666666666,1
96,193,80,0.016666666666666666,1
246,194,143,0.1111111111111111,1
118,195,80,0.01888888888888889,1
97,196,79,0.015555555555555555,1
123,197,80,0.01888888888888889,1
108,198,80,0.016666666666666666,1
124,199,80,0.01611111111111111,1
107,200,80,0.01611111111111111,1
131,201,79,0.016666666666666666,1
131,202,80,0.021666666666666667,1
129,203,82,0.012777777777777779,1
125,204,82,0.015555555555555555,1
118,205,82,0.013888888888888888,1
137,206,82,0.015,1
102,207,82,0.013888888888888888,1
131,208,83,0.013333333333333334,1
120,209,82,0.014444444444444444,1
85,210,98,0.018333333333333333,1
35,211,82,0.4816666666666667,1
154,212,82,0.01611111111111111,1
116,213,83,0.013888888888888888,1
105,214,83,0.013333333333333334,1
126,215,82,0.01611111111111111,1
219,216,94,0.017222222222222222,1
126,217,83,0.013888888888888888,1
107,218,82,0.014444444444444444,1
157,219,90,0.014444444444444444,1
196,220,89,0.013333333333333334,1
109,221,92,0.013888888888888888,1
234,222,104,0.028888888888888888,1
217,223,92,0.015,1
220,224,93,0.013333333333333334,1
236,225,106,0.27055555555555555,1
164,226,94,0.015,1
208,227,92,0.015,1
9,228,139,0.10666666666666667,1
227,229,95,0.015555555555555555,1
216,230,97,0.02,1
303,231,149,0.14444444444444443,1
221,232,97,0.020555555555555556,1
226,233,97,0.02277777777777778,1
145,234,98,0.020555555555555556,1
239,235,106,0.2638888888888889,1
239,236,104.5,0.2966666666666667,1
240,237,105,0.025,1
229,238,104,0.028333333333333332,1
236,239,105,0.29388888888888887,1
232,240,104,0.026111111111111113,1
316,241,150,0.48833333333333334,1
222,242,113,0.04055555555555555,1
242,243,121,0.06833333333333333,1
303,244,151,0.10055555555555555,1
243,245,130,0.07944444444444444,1
289,246,142,0.11555555555555555,1
162,247,114,0.03777777777777778,1
253,248,125,0.07555555555555556,1
148,249,113,0.03777777777777778,1
247,250,122,0.06111111111111111,1
77,251,129,0.3616666666666667,1
249,252,127,0.06111111111111111,1
249,253,124,0.065,1
271,254,147,0.07111111111111111,1
252,255,142,0.1272222222222222,1
273,256,153,0.03277777777777778,1
77,257,129,0.36277777777777775,1
77,258,131,0.2877777777777778,1
77,259,128,0.36833333333333335,1
252,260,140,0.20944444444444443,1
271,261,151,0.035555555555555556,1
273,262,151,0.03666666666666667,1
252,263,135,0.46444444444444444,1
310,264,152,0.19166666666666668,1
258,265,139,0.18333333333333332,1
252,266,139,0.1988888888888889,1
260,267,151,0.03722222222222222,1
273,268,151,0.041666666666666664,1
263,269,150,0.04055555555555555,1
286,270,153,0.03666666666666667,1
252,271,138,0.24555555555555555,1
263,272,149,0.04833333333333333,1
252,273,140.5,0.175,1
280,274,146,0.5238888888888888,1
263,275,151,0.03888888888888889,1
252,276,140,0.18833333333333332,1
263,277,151,0.04055555555555555,1
263,278,149,0.049444444444444444,1
260,279,149,0.044444444444444446,1
160,280,139,0.39055555555555554,1
252,281,146,0.07166666666666667,1
252,282,144,0.11166666666666666,1
266,283,148,0.05,1
301,284,152,0.18611111111111112,1
276,285,151,0.034444444444444444,1
252,286,143,0.10277777777777777,1
276,287,146,0.06666666666666667,1
260,288,151,0.03388888888888889,1
194,289,143,0.11277777777777778,1
260,290,151,0.03388888888888889,1
274,291,152,0.85,1
273,292,151,0.035555555555555556,1
301,293,152,0.19611111111111112,1
266,294,151,0.03833333333333333,1
266,295,151,0.03833333333333333,1
255,296,151,0.035555555555555556,1
255,297,151,0.035,1
299,298,151,0.3411111111111111,1
298,299,151,0.34555555555555556,1
266,300,151,0.042777777777777776,1
310,301,149,0.23444444444444446,1
263,302,148,0.04777777777777778,1
245,303,141,0.09444444444444444,1
273,304,148,0.051111111111111114,1
301,305,152,0.19944444444444445,1
260,306,151,0.03888888888888889,1
272,307,153,0.034444444444444444,1
