infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64459003_36,67,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_38,68,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_41,69,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_37,70,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_42,71,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459011_0,72,4,0,2012-12-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_39,73,4,0.005882708657051434,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64244012_0,74,32,0,2013-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64459003_45,75,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_46,76,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_43,77,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_44,78,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
45_d500_123_762_1,79,4,0,2013-08-31T22:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
64420009_7,80,4,0,2012-12-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64449006_3,81,30,0.005882708657051434,2013-03-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_9
64449006_4,82,4,0.005882708657051434,2013-02-28T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64449006_5,83,82,0.005882708657051434,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64449006_6,84,82,0.005882708657051434,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64459011_1,85,4,0,2012-12-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64449006_7,86,82,0,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64244012_1,87,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64449006_8,88,82,0,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64244012_2,89,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64244012_3,90,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64449006_11,91,82,0,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64449006_12,92,82,0.011836041986010931,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64449006_9,93,82,0.005882708657051434,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
64449006_10,94,82,0.005882708657051434,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
