infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_1,2,8,0.0058826998445477485,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_2,3,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
45_d500_156_1,4,8,0.0058826998445477485,2014-06-30T22:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
64420015_3,5,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_4,6,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_5,7,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_6,8,NA,NA,2008-08-31T22:00:00Z,NA,cattle,NA,NA
64420015_8,9,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_7,10,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_9,11,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_10,12,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_0,13,8,0,2011-01-31T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_11,14,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_12,15,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_13,16,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_15,17,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_1,18,8,0.0058826998445477485,2010-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_14,19,8,0,2008-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
45_d500_163_0,20,70,0,2015-05-31T22:00:00Z,2013-11-30T23:00:00Z,badger,cattle,40220019_3
64420047_0,21,8,0,2009-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_2,22,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_3,23,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_4,24,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_5,25,18,0,2011-04-30T22:00:00Z,2010-08-31T22:00:00Z,cattle,cattle,64420044_1
64420044_6,26,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_16,27,8,0.0058826998445477485,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
45_d500_99_766_0,28,18,0.0058826998445477485,2012-07-31T22:00:00Z,2010-08-31T22:00:00Z,badger,cattle,64420044_1
64420015_17,29,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
45_d500_156_2,30,8,0.0058826998445477485,2014-05-31T22:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
64420044_7,31,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_18,32,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_8,33,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_10,34,8,0,2011-03-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_9,35,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_19,36,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_20,37,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_12,38,8,0,2011-04-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420044_11,39,18,0,2011-04-30T22:00:00Z,2010-08-31T22:00:00Z,cattle,cattle,64420044_1
40110022_0,40,8,0,2012-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_1,41,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_21,42,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_22,43,18,0,2011-08-31T22:00:00Z,2010-08-31T22:00:00Z,cattle,cattle,64420044_1
64420015_23,44,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_24,45,8,0,2011-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
27_d500_61_0,46,8,0,2016-08-31T22:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
40220024_0,47,8,0,2011-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420015_25,48,8,0,2011-08-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420035_0,49,8,0,2013-02-28T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
27_d500_65_0,50,8,0,2012-08-31T22:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
40110022_1,51,8,0.005873842704312658,2012-06-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40110022_2,52,8,0,2012-09-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_2,53,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_3,54,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420035_1,55,8,0,2012-12-31T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_4,56,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
45_d500_78_668_0,57,8,0,2014-09-30T22:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
64420047_5,58,8,0,2012-06-30T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420038_0,59,8,0,2012-12-31T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220019_0,60,8,0,2013-05-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_6,61,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_7,62,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64281001_0,63,8,0.0058826998445477485,2013-03-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_8,64,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420035_2,65,8,0,2012-12-31T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
27_d500_172_0,66,51,0,2013-04-30T22:00:00Z,2012-06-30T22:00:00Z,badger,cattle,40110022_1
40220019_2,67,8,0.0058826998445477485,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220019_1,68,8,0,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420047_9,69,8,0,2012-07-31T22:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220019_3,70,8,0.0058826998445477485,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220024_1,71,8,0.0058826998445477485,2014-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
27_d500_24_0,72,8,0,2013-01-31T23:00:00Z,2008-08-31T22:00:00Z,badger,cattle,64420015_6
27_d500_62_1482_0,73,51,0.0058826998445477485,2015-05-31T22:00:00Z,2012-06-30T22:00:00Z,badger,cattle,40110022_1
40220019_4,74,8,0,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220019_6,75,8,0,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
40220019_5,76,8,0,2013-11-30T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
64420035_3,77,8,0.005873842704312658,2013-02-28T23:00:00Z,2008-08-31T22:00:00Z,cattle,cattle,64420015_6
