infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,2,0.01183599329771387,2008-04-30T22:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
64420015_1,2,NA,NA,2008-03-31T22:00:00Z,NA,cattle,NA,NA
45_d500_152_0,3,2,0.01183599329771387,2008-08-31T22:00:00Z,2008-03-31T22:00:00Z,badger,cattle,64420015_1
45_d500_152_1,4,137,0,2018-05-31T22:00:00Z,2015-12-31T23:00:00Z,badger,cattle,64420039_9
45_d500_152_2,5,100,0,2014-07-31T22:00:00Z,2013-02-28T23:00:00Z,badger,cattle,64420038_5
45_d500_156_0,6,31,0,2011-08-31T22:00:00Z,2010-12-31T23:00:00Z,badger,cattle,64201008_2
45_d500_152_3,7,2,0.01786160504516076,2010-05-31T22:00:00Z,2008-03-31T22:00:00Z,badger,cattle,64420015_1
64420015_2,8,2,0,2008-04-30T22:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
64420015_3,9,2,0.01183599329771387,2008-04-30T22:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
64420015_4,10,2,0.005873843499478089,2008-04-30T22:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
45_d500_156_1,11,1,0,2008-12-31T23:00:00Z,2008-04-30T22:00:00Z,badger,cattle,64420015_0
45_d500_156_2,12,1,0,2008-05-31T22:00:00Z,2008-04-30T22:00:00Z,badger,cattle,64420015_0
64201014_0,13,1,0.005873843499478089,2009-12-31T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64201021_0,14,1,0,2010-01-31T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64201014_1,15,1,0.005873843499478089,2009-12-31T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
45_d500_170_0,16,93,0,2018-07-31T22:00:00Z,2013-04-30T22:00:00Z,badger,cattle,64201021_4
45_d500_170_1,17,112,0,2018-07-31T22:00:00Z,2013-07-31T22:00:00Z,badger,cattle,64281003_8
45_d500_156_3,18,1,0.005882696677947116,2010-09-30T22:00:00Z,2008-04-30T22:00:00Z,badger,cattle,64420015_0
64201014_2,19,1,0.011791353572263224,2009-11-30T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64201014_3,20,1,0.005882696677947116,2009-12-31T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64281001_0,21,28,0,2010-07-31T22:00:00Z,2010-06-30T22:00:00Z,cattle,cattle,64281001_1
64326020_5,22,1,0,2010-02-28T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64201008_0,23,2,0.011791353572263224,2010-12-31T23:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
64326020_6,24,2,0.01183599329771387,2010-01-31T23:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
64420012_0,25,39,0,2012-03-31T22:00:00Z,2010-11-30T23:00:00Z,cattle,badger,45_d500_152_5
45_d500_156_4,26,1,0.005873843499478089,2011-11-30T23:00:00Z,2008-04-30T22:00:00Z,badger,cattle,64420015_0
64201021_1,27,1,0,2010-01-31T23:00:00Z,2008-04-30T22:00:00Z,cattle,cattle,64420015_0
64281001_1,28,2,0.01183599329771387,2010-06-30T22:00:00Z,2008-03-31T22:00:00Z,cattle,cattle,64420015_1
