sim,scenario,nb_acc,nb_non_acc
S1_1,1,9,140
S1_2,1,15,151
S1_3,1,22,460
S1_4,1,6,56
S1_5,1,18,464
S1_6,1,21,292
S1_7,1,7,201
S1_8,1,5,78
S1_9,1,2,45
S1_10,1,3,53
S1_11,1,2,61
S1_12,1,4,88
S1_13,1,8,215
S1_14,1,17,217
S1_15,1,6,115
S1_16,1,5,232
S1_17,1,4,99
S1_18,1,4,49
S1_19,1,13,180
S1_20,1,6,60
S1_21,1,10,128
S1_22,1,9,85
S1_23,1,2,82
S1_24,1,9,70
S1_25,1,2,67
S1_26,1,0,50
S1_27,1,20,425
S1_28,1,10,194
S1_29,1,18,299
S1_30,1,18,476
