X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
76791,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,2,3,abattage,13,47,NA->cattle,2007,3,b2012,130,26,16,88,NA,NA,NA,NA,NA,NA
76792,13,SB0832,badger,cattle,45_d500_99_839_0,64420015_0,45_d500_99_839,64420015,cattle,5,5,69,demographie,41,47,cattle->badger,2007,64,b2012,130,26,16,88,64420015_0->45_d500_99_839_0,64420015_0->45_d500_99_839_0,64420015_0->45_d500_99_839_0,NA,64420015_0->45_d500_99_839_0,NA
76793,13,SB0832,cattle,badger,64420035_0,45_d500_99_839_0,64420035,45_d500_99_839,badger,29,30,39,demographie,243,47,badger->cattle,2009,10,b2012,130,26,16,88,45_d500_99_839_0->64420035_0,45_d500_99_839_0->64420035_0,45_d500_99_839_0->64420035_0,64420015_0->64420035_0,45_d500_99_839_0->64420035_0,64420015_0->64420035_0
76794,13,SB0832,badger,cattle,45_d500_78_668_0,64420035_0,45_d500_78_668,64420035,cattle,31,31,50,demographie,269,47,cattle->badger,2009,19,b2012,130,26,16,88,64420035_0->45_d500_78_668_0,NA,64420035_0->45_d500_78_668_0,NA,NA,NA
76795,13,SB0832,badger,cattle,45_d500_163_1,64420035_0,45_d500_163,64420035,cattle,32,32,82,demographie,279,47,cattle->badger,2009,50,b2012,130,26,16,88,64420035_0->45_d500_163_1,64420035_0->45_d500_163_1,64420035_0->45_d500_163_1,NA,64420035_0->45_d500_163_1,NA
76796,13,SB0832,cattle,cattle,64420035_1,64420035_0,64420035,64420035,within,33,38,40,abattage,295,47,cattle->cattle,2009,7,b2012,130,26,16,88,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1,64420035_0->64420035_1
76797,13,SB0832,cattle,cattle,64420035_2,64420035_0,64420035,64420035,within,36,37,40,abattage,332,47,cattle->cattle,2010,4,b2012,130,26,16,88,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2,64420035_0->64420035_2
76798,13,SB0832,cattle,cattle,64420035_3,64420035_0,64420035,64420035,within,36,-1,40,abattage,333,47,cattle->cattle,2010,4,b2012,130,26,16,88,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3
76799,13,SB0832,badger,cattle,45_d500_99_720_0,64420035_0,45_d500_99_720,64420035,cattle,41,41,43,demographie,400,47,cattle->badger,2010,2,b2012,130,26,16,88,64420035_0->45_d500_99_720_0,NA,64420035_0->45_d500_99_720_0,NA,NA,NA
76800,13,SB0832,badger,cattle,45_d500_157_858_0,64420035_2,45_d500_157_858,64420035,cattle,41,41,91,trapping,401,47,cattle->badger,2010,50,b2012,130,26,16,88,64420035_2->45_d500_157_858_0,64420035_2->45_d500_157_858_0,64420035_2->45_d500_157_858_0,NA,64420035_2->45_d500_157_858_0,NA
