X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
72681,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,18,abattage,13,299,NA->cattle,2007,18,b2012,292,19,25,248,NA,NA,NA,NA,NA,NA
72682,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,11,13,17,demographie,54,299,cattle->cattle,2007,6,b2012,292,19,25,248,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
72683,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,12,18,18,abattage,62,299,cattle->cattle,2008,6,b2012,292,19,25,248,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
72684,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,14,16,18,abattage,76,299,cattle->cattle,2008,4,b2012,292,19,25,248,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3
72685,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_3,45_d500_157_858,64420015,cattle,16,16,68,trapping,85,299,cattle->badger,2008,52,b2012,292,19,25,248,64420015_3->45_d500_157_858_0,64420015_3->45_d500_157_858_0,64420015_3->45_d500_157_858_0,NA,64420015_3->45_d500_157_858_0,NA
72686,13,SB0832,badger,cattle,45_d500_152_0,64420015_3,45_d500_152,64420015,cattle,17,17,98,demographie,89,299,cattle->badger,2008,81,b2012,292,19,25,248,64420015_3->45_d500_152_0,64420015_3->45_d500_152_0,64420015_3->45_d500_152_0,NA,64420015_3->45_d500_152_0,NA
72687,13,SB0832,badger,cattle,45_d500_157_858_1,64420015_2,45_d500_157_858,64420015,cattle,21,21,30,demographie,96,299,cattle->badger,2008,9,b2012,292,19,25,248,64420015_2->45_d500_157_858_1,NA,64420015_2->45_d500_157_858_1,NA,NA,NA
72688,13,SB0832,cattle,badger,64359189_0,45_d500_157_858_0,64359189,45_d500_157_858,badger,33,36,62,demographie,122,299,badger->cattle,2009,29,b2012,292,19,25,248,45_d500_157_858_0->64359189_0,45_d500_157_858_0->64359189_0,45_d500_157_858_0->64359189_0,64420015_3->64359189_0,45_d500_157_858_0->64359189_0,64420015_3->64359189_0
72689,13,SB0832,boar,cattle,64359_0,64359189_0,64359,64359189,cattle,40,40,42,demographie,160,299,cattle->boar,2010,2,b2012,292,19,25,248,64359189_0->64359_0,NA,NA,64359189_0->64359_0,NA,NA
72690,13,SB0832,cattle,cattle,64359189_1,64359189_0,64359189,64359189,within,41,46,74,abattage,166,299,cattle->cattle,2010,33,b2012,292,19,25,248,64359189_0->64359189_1,64359189_0->64359189_1,64359189_0->64359189_1,64359189_0->64359189_1,64359189_0->64359189_1,64359189_0->64359189_1
72691,13,SB0832,cattle,cattle,64359189_2,64359189_0,64359189,64359189,within,42,50,74,abattage,170,299,cattle->cattle,2010,32,b2012,292,19,25,248,64359189_0->64359189_2,64359189_0->64359189_2,64359189_0->64359189_2,64359189_0->64359189_2,64359189_0->64359189_2,64359189_0->64359189_2
72692,13,SB0832,boar,cattle,64359_1,64359189_0,64359,64359189,cattle,42,42,68,demographie,171,299,cattle->boar,2010,26,b2012,292,19,25,248,64359189_0->64359_1,64359189_0->64359_1,NA,64359189_0->64359_1,NA,64359189_0->64359_1
72693,13,SB0832,cattle,badger,64420002_0,45_d500_157_858_0,64420002,45_d500_157_858,badger,43,45,64,abattage,176,299,badger->cattle,2010,21,b2012,292,19,25,248,45_d500_157_858_0->64420002_0,45_d500_157_858_0->64420002_0,45_d500_157_858_0->64420002_0,64420015_3->64420002_0,45_d500_157_858_0->64420002_0,64420015_3->64420002_0
72694,13,SB0832,boar,cattle,64359_2,64359189_0,64359,64359189,cattle,43,43,57,demographie,177,299,cattle->boar,2010,14,b2012,292,19,25,248,64359189_0->64359_2,NA,NA,64359189_0->64359_2,NA,NA
72695,13,SB0832,cattle,cattle,64359189_3,64359189_1,64359189,64359189,within,47,48,74,abattage,202,299,cattle->cattle,2010,27,b2012,292,19,25,248,64359189_1->64359189_3,64359189_1->64359189_3,64359189_1->64359189_3,64359189_1->64359189_3,64359189_1->64359189_3,64359189_1->64359189_3
72696,13,SB0832,cattle,cattle,64420002_1,64420002_0,64420002,64420002,within,47,48,64,abattage,204,299,cattle->cattle,2010,17,b2012,292,19,25,248,64420002_0->64420002_1,64420002_0->64420002_1,64420002_0->64420002_1,64420002_0->64420002_1,64420002_0->64420002_1,64420002_0->64420002_1
72697,13,SB0832,boar,cattle,64359_3,64359189_1,64359,64359189,cattle,48,48,75,demographie,209,299,cattle->boar,2011,27,b2012,292,19,25,248,64359189_1->64359_3,64359189_1->64359_3,NA,64359189_1->64359_3,NA,64359189_1->64359_3
72698,13,SB0832,cattle,cattle,64359189_4,64359189_0,64359189,64359189,within,49,60,74,abattage,219,299,cattle->cattle,2011,25,b2012,292,19,25,248,64359189_0->64359189_4,64359189_0->64359189_4,64359189_0->64359189_4,64359189_0->64359189_4,64359189_0->64359189_4,64359189_0->64359189_4
72699,13,SB0832,cattle,cattle,64420002_2,64420002_0,64420002,64420002,within,49,51,64,abattage,222,299,cattle->cattle,2011,15,b2012,292,19,25,248,64420002_0->64420002_2,64420002_0->64420002_2,64420002_0->64420002_2,64420002_0->64420002_2,64420002_0->64420002_2,64420002_0->64420002_2
72700,13,SB0832,cattle,cattle,64420002_3,64420002_0,64420002,64420002,within,49,50,64,abattage,223,299,cattle->cattle,2011,15,b2012,292,19,25,248,64420002_0->64420002_3,64420002_0->64420002_3,64420002_0->64420002_3,64420002_0->64420002_3,64420002_0->64420002_3,64420002_0->64420002_3
72701,13,SB0832,cattle,cattle,64420002_4,64420002_1,64420002,64420002,within,50,52,64,abattage,230,299,cattle->cattle,2011,14,b2012,292,19,25,248,64420002_1->64420002_4,64420002_1->64420002_4,64420002_1->64420002_4,64420002_1->64420002_4,64420002_1->64420002_4,64420002_1->64420002_4
72702,13,SB0832,cattle,cattle,64420039_0,64420002_0,64420039,64420002,pasture,52,57,64,abattage,245,299,cattle->cattle,2011,12,b2012,292,19,25,248,64420002_0->64420039_0,64420002_0->64420039_0,64420002_0->64420039_0,64420002_0->64420039_0,64420002_0->64420039_0,64420002_0->64420039_0
72703,13,SB0832,cattle,cattle,64359189_5,64359189_3,64359189,64359189,within,53,68,74,abattage,248,299,cattle->cattle,2011,21,b2012,292,19,25,248,64359189_3->64359189_5,64359189_3->64359189_5,64359189_3->64359189_5,64359189_3->64359189_5,64359189_3->64359189_5,64359189_3->64359189_5
72704,13,SB0832,cattle,badger,64326020_0,45_d500_157_858_0,64326020,45_d500_157_858,badger,54,69,74,abattage,251,299,badger->cattle,2011,20,b2012,292,19,25,248,45_d500_157_858_0->64326020_0,45_d500_157_858_0->64326020_0,45_d500_157_858_0->64326020_0,64420015_3->64326020_0,45_d500_157_858_0->64326020_0,64420015_3->64326020_0
72705,13,SB0832,badger,cattle,45_d500_105_726_0,64420002_2,45_d500_105_726,64420002,cattle,54,54,103,demographie,256,299,cattle->badger,2011,49,b2012,292,19,25,248,64420002_2->45_d500_105_726_0,64420002_2->45_d500_105_726_0,64420002_2->45_d500_105_726_0,NA,64420002_2->45_d500_105_726_0,NA
72706,13,SB0832,cattle,cattle,64420039_1,64420002_0,64420039,64420002,pasture,55,60,64,abattage,265,299,cattle->cattle,2011,9,b2012,292,19,25,248,64420002_0->64420039_1,64420002_0->64420039_1,64420002_0->64420039_1,64420002_0->64420039_1,64420002_0->64420039_1,64420002_0->64420039_1
72707,13,SB0832,badger,cattle,45_d500_159_855_0,64420002_1,45_d500_159_855,64420002,cattle,55,55,70,demographie,266,299,cattle->badger,2011,15,b2012,292,19,25,248,64420002_1->45_d500_159_855_0,64420002_1->45_d500_159_855_0,64420002_1->45_d500_159_855_0,NA,64420002_1->45_d500_159_855_0,NA
72708,13,SB0832,boar,badger,64359_4,45_d500_105_726_0,64359,45_d500_105_726,badger,56,56,86,demographie,268,299,badger->boar,2011,30,b2012,292,19,25,248,45_d500_105_726_0->64359_4,45_d500_105_726_0->64359_4,NA,64420002_2->64359_4,NA,64420002_2->64359_4
72709,13,SB0832,boar,cattle,64359_5,64359189_2,64359,64359189,cattle,57,57,100,demographie,284,299,cattle->boar,2011,43,b2012,292,19,25,248,64359189_2->64359_5,64359189_2->64359_5,NA,64359189_2->64359_5,NA,64359189_2->64359_5
72710,13,SB0832,cattle,cattle,64359189_6,64359189_3,64359189,64359189,within,57,-1,62,demographie,285,299,cattle->cattle,2011,5,b2012,292,19,25,248,64359189_3->64359189_6,64359189_3->64359189_6,64359189_3->64359189_6,64359189_3->64359189_6,64359189_3->64359189_6,64359189_3->64359189_6
72711,13,SB0832,cattle,cattle,64420039_3,64420002_0,64420039,64420002,pasture,57,59,64,abattage,286,299,cattle->cattle,2011,7,b2012,292,19,25,248,64420002_0->64420039_3,64420002_0->64420039_3,64420002_0->64420039_3,64420002_0->64420039_3,64420002_0->64420039_3,64420002_0->64420039_3
72712,13,SB0832,cattle,cattle,64420039_2,64420002_1,64420039,64420002,pasture,57,63,64,abattage,287,299,cattle->cattle,2011,7,b2012,292,19,25,248,64420002_1->64420039_2,64420002_1->64420039_2,64420002_1->64420039_2,64420002_1->64420039_2,64420002_1->64420039_2,64420002_1->64420039_2
72713,13,SB0832,badger,cattle,45_d500_155_880_0,64359189_0,45_d500_155_880,64359189,cattle,58,58,157,NA,296,299,cattle->badger,2011,99,b2012,292,19,25,248,64359189_0->45_d500_155_880_0,64359189_0->45_d500_155_880_0,64359189_0->45_d500_155_880_0,NA,64359189_0->45_d500_155_880_0,NA
72714,13,SB0832,badger,cattle,45_d500_157_858_2,64420002_1,45_d500_157_858,64420002,cattle,58,58,114,demographie,300,299,cattle->badger,2011,56,b2012,292,19,25,248,64420002_1->45_d500_157_858_2,64420002_1->45_d500_157_858_2,64420002_1->45_d500_157_858_2,NA,64420002_1->45_d500_157_858_2,NA
72715,13,SB0832,badger,cattle,45_d500_99_766_0,64420002_3,45_d500_99_766,64420002,cattle,58,58,90,trapping,301,299,cattle->badger,2011,32,b2012,292,19,25,248,64420002_3->45_d500_99_766_0,64420002_3->45_d500_99_766_0,64420002_3->45_d500_99_766_0,NA,64420002_3->45_d500_99_766_0,NA
72716,13,SB0832,badger,badger,45_d500_152_1,45_d500_152_0,45_d500_152,45_d500_152,within,59,59,103,trapping,302,299,badger->badger,2011,44,b2012,292,19,25,248,45_d500_152_0->45_d500_152_1,45_d500_152_0->45_d500_152_1,45_d500_152_0->45_d500_152_1,NA,45_d500_152_0->45_d500_152_1,NA
72717,13,SB0832,cattle,cattle,64359189_9,64359189_0,64359189,64359189,within,59,61,73,demographie,315,299,cattle->cattle,2011,14,b2012,292,19,25,248,64359189_0->64359189_9,64359189_0->64359189_9,64359189_0->64359189_9,64359189_0->64359189_9,64359189_0->64359189_9,64359189_0->64359189_9
72718,13,SB0832,cattle,cattle,64359189_8,64359189_1,64359189,64359189,within,59,61,74,abattage,316,299,cattle->cattle,2011,15,b2012,292,19,25,248,64359189_1->64359189_8,64359189_1->64359189_8,64359189_1->64359189_8,64359189_1->64359189_8,64359189_1->64359189_8,64359189_1->64359189_8
72719,13,SB0832,cattle,cattle,64359189_10,64359189_1,64359189,64359189,within,59,60,62,demographie,317,299,cattle->cattle,2011,3,b2012,292,19,25,248,64359189_1->64359189_10,64359189_1->64359189_10,64359189_1->64359189_10,64359189_1->64359189_10,64359189_1->64359189_10,64359189_1->64359189_10
72720,13,SB0832,boar,cattle,64359_6,64359189_1,64359,64359189,cattle,59,59,61,demographie,318,299,cattle->boar,2011,2,b2012,292,19,25,248,64359189_1->64359_6,64359189_1->64359_6,NA,64359189_1->64359_6,NA,64359189_1->64359_6
72721,13,SB0832,boar,cattle,64359_7,64359189_1,64359,64359189,cattle,59,59,61,demographie,319,299,cattle->boar,2011,2,b2012,292,19,25,248,64359189_1->64359_7,64359189_1->64359_7,NA,64359189_1->64359_7,NA,64359189_1->64359_7
72722,13,SB0832,boar,cattle,64359_8,64359189_1,64359,64359189,cattle,59,59,84,demographie,320,299,cattle->boar,2011,25,b2012,292,19,25,248,64359189_1->64359_8,64359189_1->64359_8,NA,64359189_1->64359_8,NA,64359189_1->64359_8
72723,13,SB0832,cattle,cattle,64359189_7,64359189_3,64359189,64359189,within,59,64,74,abattage,321,299,cattle->cattle,2011,15,b2012,292,19,25,248,64359189_3->64359189_7,64359189_3->64359189_7,64359189_3->64359189_7,64359189_3->64359189_7,64359189_3->64359189_7,64359189_3->64359189_7
