X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,presence_2,presence_3,presence_4,presence_5,presence_6
39537,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,20,abattage,13,227,NA->cattle,2007,20,b2012,433,50,41,342,NA,NA,NA,NA,NA,NA,1,1,1,1,1
39538,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_0,45_d500_157_858,64420015,cattle,3,3,63,demographie,18,227,cattle->badger,2007,60,b2012,433,50,41,342,64420015_0->45_d500_157_858_0,64420015_0->45_d500_157_858_0,64420015_0->45_d500_157_858_0,NA,64420015_0->45_d500_157_858_0,NA,1,1,0,1,0
39539,13,SB0832,badger,cattle,45_d500_160_0,64420015_0,45_d500_160,64420015,cattle,6,6,46,demographie,38,227,cattle->badger,2007,40,b2012,433,50,41,342,64420015_0->45_d500_160_0,NA,64420015_0->45_d500_160_0,NA,NA,NA,0,1,0,0,0
39540,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,7,9,19,demographie,44,227,cattle->cattle,2007,12,b2012,433,50,41,342,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,1,1,1,1,1
39541,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,8,9,20,abattage,50,227,cattle->cattle,2007,12,b2012,433,50,41,342,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,1,1,1,1,1
39542,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,10,16,22,demographie,60,227,cattle->cattle,2007,12,b2012,433,50,41,342,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,64420015_0->64420044_0,1,1,1,1,1
39543,13,SB0832,badger,cattle,45_d500_156_0,64420015_2,45_d500_156,64420015,cattle,10,10,68,demographie,61,227,cattle->badger,2007,58,b2012,433,50,41,342,64420015_2->45_d500_156_0,64420015_2->45_d500_156_0,64420015_2->45_d500_156_0,NA,64420015_2->45_d500_156_0,NA,1,1,1,1,1
39544,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,11,-1,14,demographie,71,227,cattle->cattle,2007,3,b2012,433,50,41,342,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,64420015_2->64420015_3,1,1,1,1,1
39545,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,12,13,20,abattage,81,227,cattle->cattle,2008,8,b2012,433,50,41,342,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,1,1,1,1,1
39546,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,14,-1,20,abattage,94,227,cattle->cattle,2008,6,b2012,433,50,41,342,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,64420015_1->64420015_5,1,1,1,1,1
39547,13,SB0832,cattle,cattle,64420015_6,64420015_4,64420015,64420015,within,14,16,20,abattage,95,227,cattle->cattle,2008,6,b2012,433,50,41,342,64420015_4->64420015_6,64420015_4->64420015_6,64420015_4->64420015_6,64420015_4->64420015_6,64420015_4->64420015_6,64420015_4->64420015_6,1,1,1,1,1
39548,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,16,-1,20,abattage,110,227,cattle->cattle,2008,4,b2012,433,50,41,342,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,1,1,1,1,1
39549,13,SB0832,cattle,cattle,64420015_8,64420015_2,64420015,64420015,within,17,-1,20,abattage,120,227,cattle->cattle,2008,3,b2012,433,50,41,342,64420015_2->64420015_8,64420015_2->64420015_8,64420015_2->64420015_8,64420015_2->64420015_8,64420015_2->64420015_8,64420015_2->64420015_8,1,1,1,1,1
39550,13,SB0832,badger,cattle,45_d500_160_1,64420015_2,45_d500_160,64420015,cattle,17,17,103,trapping,121,227,cattle->badger,2008,86,b2012,433,50,41,342,64420015_2->45_d500_160_1,64420015_2->45_d500_160_1,64420015_2->45_d500_160_1,NA,64420015_2->45_d500_160_1,NA,1,1,1,1,1
39551,13,SB0832,cattle,cattle,64420015_9,64420015_1,64420015,64420015,within,18,-1,20,abattage,125,227,cattle->cattle,2008,2,b2012,433,50,41,342,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,64420015_1->64420015_9,1,1,1,1,1
39552,13,SB0832,badger,cattle,45_d500_152_0,64420044_0,45_d500_152,64420044,cattle,19,19,43,demographie,131,227,cattle->badger,2008,24,b2012,433,50,41,342,64420044_0->45_d500_152_0,NA,64420044_0->45_d500_152_0,NA,NA,NA,0,1,0,0,0
39553,13,SB0832,cattle,cattle,64420047_0,64420044_0,64420047,64420044,pasture,20,23,42,demographie,135,227,cattle->cattle,2008,22,b2012,433,50,41,342,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,64420044_0->64420047_0,1,1,1,1,1
39554,13,SB0832,badger,cattle,45_d500_156_1,64420044_0,45_d500_156,64420044,cattle,21,21,94,demographie,138,227,cattle->badger,2008,73,b2012,433,50,41,342,64420044_0->45_d500_156_1,64420044_0->45_d500_156_1,64420044_0->45_d500_156_1,NA,64420044_0->45_d500_156_1,NA,1,1,0,1,0
39555,13,SB0832,cattle,badger,64201008_0,45_d500_156_0,64201008,45_d500_156,badger,28,29,65,abattage,159,227,badger->cattle,2009,37,b2012,433,50,41,342,45_d500_156_0->64201008_0,45_d500_156_0->64201008_0,45_d500_156_0->64201008_0,64420015_2->64201008_0,45_d500_156_0->64201008_0,64420015_2->64201008_0,1,1,1,1,1
39556,13,SB0832,cattle,cattle,64420012_0,64420047_0,64420012,64420047,pasture,28,38,63,abattage,162,227,cattle->cattle,2009,35,b2012,433,50,41,342,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,64420047_0->64420012_0,1,1,1,1,1
39557,13,SB0832,cattle,cattle,64420039_0,64420047_0,64420039,64420047,pasture,28,32,51,abattage,163,227,cattle->cattle,2009,23,b2012,433,50,41,342,64420047_0->64420039_0,64420047_0->64420039_0,64420047_0->64420039_0,64420047_0->64420039_0,64420047_0->64420039_0,64420047_0->64420039_0,1,1,1,1,1
39558,13,SB0832,badger,cattle,45_d500_124_0,64420047_0,45_d500_124,64420047,cattle,29,29,136,trapping,165,227,cattle->badger,2009,107,b2012,433,50,41,342,64420047_0->45_d500_124_0,64420047_0->45_d500_124_0,64420047_0->45_d500_124_0,NA,64420047_0->45_d500_124_0,NA,1,1,0,1,0
39559,13,SB0832,badger,cattle,45_d500_152_1,64420047_0,45_d500_152,64420047,cattle,32,32,77,trapping,170,227,cattle->badger,2009,45,b2012,433,50,41,342,64420047_0->45_d500_152_1,64420047_0->45_d500_152_1,64420047_0->45_d500_152_1,NA,64420047_0->45_d500_152_1,NA,1,1,0,1,0
39560,13,SB0832,cattle,cattle,64420035_0,64420047_0,64420035,64420047,pasture,33,36,51,abattage,174,227,cattle->cattle,2009,18,b2012,433,50,41,342,64420047_0->64420035_0,64420047_0->64420035_0,64420047_0->64420035_0,64420047_0->64420035_0,64420047_0->64420035_0,64420047_0->64420035_0,1,1,1,1,1
39561,13,SB0832,cattle,cattle,64420039_1,64420047_0,64420039,64420047,pasture,33,36,51,abattage,175,227,cattle->cattle,2009,18,b2012,433,50,41,342,64420047_0->64420039_1,64420047_0->64420039_1,64420047_0->64420039_1,64420047_0->64420039_1,64420047_0->64420039_1,64420047_0->64420039_1,1,1,1,1,1
39562,13,SB0832,cattle,cattle,64420039_2,64420039_0,64420039,64420039,within,35,36,50,demographie,183,227,cattle->cattle,2009,15,b2012,433,50,41,342,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,64420039_0->64420039_2,1,1,1,1,1
39563,13,SB0832,cattle,cattle,64420047_1,64420047_0,64420047,64420047,within,36,42,45,abattage,185,227,cattle->cattle,2010,9,b2012,433,50,41,342,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,64420047_0->64420047_1,1,1,1,1,1
39564,13,SB0832,cattle,cattle,64420039_3,64420039_0,64420039,64420039,within,37,38,51,abattage,186,227,cattle->cattle,2010,14,b2012,433,50,41,342,64420039_0->64420039_3,64420039_0->64420039_3,64420039_0->64420039_3,64420039_0->64420039_3,64420039_0->64420039_3,64420039_0->64420039_3,1,1,1,1,1
39565,13,SB0832,cattle,cattle,64420047_2,64420047_0,64420047,64420047,within,37,39,44,demographie,187,227,cattle->cattle,2010,7,b2012,433,50,41,342,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,64420047_0->64420047_2,1,1,1,1,1
39566,13,SB0832,cattle,cattle,64420039_8,64420039_0,64420039,64420039,within,38,46,51,abattage,189,227,cattle->cattle,2010,13,b2012,433,50,41,342,64420039_0->64420039_8,64420039_0->64420039_8,64420039_0->64420039_8,64420039_0->64420039_8,64420039_0->64420039_8,64420039_0->64420039_8,1,1,1,1,1
39567,13,SB0832,cattle,cattle,64420039_4,64420039_2,64420039,64420039,within,38,-1,39,demographie,190,227,cattle->cattle,2010,1,b2012,433,50,41,342,64420039_2->64420039_4,64420039_2->64420039_4,64420039_2->64420039_4,64420039_2->64420039_4,64420039_2->64420039_4,64420039_2->64420039_4,1,1,1,1,1
39568,13,SB0832,cattle,cattle,64420039_7,64420039_2,64420039,64420039,within,38,39,51,abattage,191,227,cattle->cattle,2010,13,b2012,433,50,41,342,64420039_2->64420039_7,64420039_2->64420039_7,64420039_2->64420039_7,64420039_2->64420039_7,64420039_2->64420039_7,64420039_2->64420039_7,1,1,1,1,1
