X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
40842,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,9,13,abattage,13,229,NA->cattle,2007,13,b2012,248,27,18,203
40843,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,12,23,46,demographie,45,229,cattle->cattle,2008,34,b2012,248,27,18,203
40844,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,13,-1,17,demographie,50,229,cattle->cattle,2008,4,b2012,248,27,18,203
40845,13,SB0832,cattle,cattle,64420015_3,64420015_1,64420015,64420015,within,24,-1,25,demographie,64,229,cattle->cattle,2009,1,b2012,248,27,18,203
40846,13,SB0832,badger,cattle,45_d500_152_0,64420015_1,45_d500_152,64420015,cattle,28,28,107,demographie,66,229,cattle->badger,2009,79,b2012,248,27,18,203
40847,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,36,37,47,abattage,68,229,cattle->cattle,2010,11,b2012,248,27,18,203
40848,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,36,-1,38,demographie,69,229,cattle->cattle,2010,2,b2012,248,27,18,203
40849,13,SB0832,cattle,cattle,64420015_6,64420015_1,64420015,64420015,within,37,38,47,abattage,71,229,cattle->cattle,2010,10,b2012,248,27,18,203
40850,13,SB0832,badger,cattle,45_d500_160_0,64420015_4,45_d500_160,64420015,cattle,45,45,157,NA,76,229,cattle->badger,2010,112,b2012,248,27,18,203
40851,13,SB0832,cattle,cattle,64420015_9,64420015_4,64420015,64420015,within,47,-1,47,abattage,77,229,cattle->cattle,2010,0,b2012,248,27,18,203
40852,13,SB0832,cattle,cattle,64420015_7,64420015_6,64420015,64420015,within,47,-1,47,abattage,78,229,cattle->cattle,2010,0,b2012,248,27,18,203
40853,13,SB0832,cattle,cattle,64420015_8,64420015_6,64420015,64420015,within,47,-1,47,abattage,79,229,cattle->cattle,2010,0,b2012,248,27,18,203
