X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
54062,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,16,abattage,13,84,NA->cattle,2007,16,b2012,104,42,19,43
54063,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,1,2,15,demographie,16,84,cattle->cattle,2007,14,b2012,104,42,19,43
54064,13,SB0832,badger,cattle,45_d500_152_0,64420015_0,45_d500_152,64420015,cattle,4,4,17,demographie,34,84,cattle->badger,2007,13,b2012,104,42,19,43
54065,13,SB0832,badger,cattle,45_d500_99_839_0,64420015_0,45_d500_99_839,64420015,cattle,4,4,128,trapping,35,84,cattle->badger,2007,124,b2012,104,42,19,43
54066,13,SB0832,badger,cattle,45_d500_152_1,64420015_1,45_d500_152,64420015,cattle,5,5,89,trapping,40,84,cattle->badger,2007,84,b2012,104,42,19,43
54067,13,SB0832,badger,cattle,45_d500_156_0,64420015_1,45_d500_156,64420015,cattle,5,5,81,demographie,41,84,cattle->badger,2007,76,b2012,104,42,19,43
54068,13,SB0832,badger,cattle,45_d500_160_0,64420015_1,45_d500_160,64420015,cattle,5,5,14,demographie,42,84,cattle->badger,2007,9,b2012,104,42,19,43
54069,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,9,15,22,demographie,69,84,cattle->cattle,2007,13,b2012,104,42,19,43
54070,13,SB0832,badger,badger,45_d500_152_2,45_d500_152_0,45_d500_152,45_d500_152,within,10,10,89,demographie,74,84,badger->badger,2007,79,b2012,104,42,19,43
54071,13,SB0832,cattle,cattle,64420015_2,64420015_1,64420015,64420015,within,12,15,16,abattage,94,84,cattle->cattle,2008,4,b2012,104,42,19,43
54072,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,13,14,16,abattage,102,84,cattle->cattle,2008,3,b2012,104,42,19,43
54073,13,SB0832,cattle,cattle,64420015_4,64420015_1,64420015,64420015,within,14,-1,16,abattage,111,84,cattle->cattle,2008,2,b2012,104,42,19,43
54074,13,SB0832,badger,badger,45_d500_152_3,45_d500_152_0,45_d500_152,45_d500_152,within,16,16,53,demographie,118,84,badger->badger,2008,37,b2012,104,42,19,43
54075,13,SB0832,badger,badger,45_d500_156_1,45_d500_156_0,45_d500_156,45_d500_156,within,16,16,17,demographie,119,84,badger->badger,2008,1,b2012,104,42,19,43
54076,13,SB0832,badger,cattle,45_d500_152_4,64420015_3,45_d500_152,64420015,cattle,16,16,19,demographie,123,84,cattle->badger,2008,3,b2012,104,42,19,43
