X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle
39537,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,0,20,abattage,13,227,NA->cattle,2007,20,b2012,433,50,41,342
39538,13,SB0832,badger,cattle,45_d500_157_858_0,64420015_0,45_d500_157_858,64420015,cattle,3,3,63,demographie,18,227,cattle->badger,2007,60,b2012,433,50,41,342
39539,13,SB0832,badger,cattle,45_d500_160_0,64420015_0,45_d500_160,64420015,cattle,6,6,46,demographie,38,227,cattle->badger,2007,40,b2012,433,50,41,342
39540,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,7,9,19,demographie,44,227,cattle->cattle,2007,12,b2012,433,50,41,342
39541,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,8,9,20,abattage,50,227,cattle->cattle,2007,12,b2012,433,50,41,342
39542,13,SB0832,cattle,cattle,64420044_0,64420015_0,64420044,64420015,pasture,10,16,22,demographie,60,227,cattle->cattle,2007,12,b2012,433,50,41,342
39543,13,SB0832,badger,cattle,45_d500_156_0,64420015_2,45_d500_156,64420015,cattle,10,10,68,demographie,61,227,cattle->badger,2007,58,b2012,433,50,41,342
39544,13,SB0832,cattle,cattle,64420015_3,64420015_2,64420015,64420015,within,11,-1,14,demographie,71,227,cattle->cattle,2007,3,b2012,433,50,41,342
39545,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,12,13,20,abattage,81,227,cattle->cattle,2008,8,b2012,433,50,41,342
39546,13,SB0832,cattle,cattle,64420015_5,64420015_1,64420015,64420015,within,14,-1,20,abattage,94,227,cattle->cattle,2008,6,b2012,433,50,41,342
39547,13,SB0832,cattle,cattle,64420015_6,64420015_4,64420015,64420015,within,14,16,20,abattage,95,227,cattle->cattle,2008,6,b2012,433,50,41,342
39548,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,16,-1,20,abattage,110,227,cattle->cattle,2008,4,b2012,433,50,41,342
39549,13,SB0832,cattle,cattle,64420015_8,64420015_2,64420015,64420015,within,17,-1,20,abattage,120,227,cattle->cattle,2008,3,b2012,433,50,41,342
39550,13,SB0832,badger,cattle,45_d500_160_1,64420015_2,45_d500_160,64420015,cattle,17,17,103,trapping,121,227,cattle->badger,2008,86,b2012,433,50,41,342
39551,13,SB0832,cattle,cattle,64420015_9,64420015_1,64420015,64420015,within,18,-1,20,abattage,125,227,cattle->cattle,2008,2,b2012,433,50,41,342
39552,13,SB0832,badger,cattle,45_d500_152_0,64420044_0,45_d500_152,64420044,cattle,19,19,43,demographie,131,227,cattle->badger,2008,24,b2012,433,50,41,342
39553,13,SB0832,cattle,cattle,64420047_0,64420044_0,64420047,64420044,pasture,20,23,42,demographie,135,227,cattle->cattle,2008,22,b2012,433,50,41,342
39554,13,SB0832,badger,cattle,45_d500_156_1,64420044_0,45_d500_156,64420044,cattle,21,21,94,demographie,138,227,cattle->badger,2008,73,b2012,433,50,41,342
39555,13,SB0832,cattle,badger,64201008_0,45_d500_156_0,64201008,45_d500_156,badger,28,29,65,abattage,159,227,badger->cattle,2009,37,b2012,433,50,41,342
39556,13,SB0832,cattle,cattle,64420012_0,64420047_0,64420012,64420047,pasture,28,38,63,abattage,162,227,cattle->cattle,2009,35,b2012,433,50,41,342
39557,13,SB0832,cattle,cattle,64420039_0,64420047_0,64420039,64420047,pasture,28,32,51,abattage,163,227,cattle->cattle,2009,23,b2012,433,50,41,342
39558,13,SB0832,badger,cattle,45_d500_124_0,64420047_0,45_d500_124,64420047,cattle,29,29,136,trapping,165,227,cattle->badger,2009,107,b2012,433,50,41,342
39559,13,SB0832,badger,cattle,45_d500_152_1,64420047_0,45_d500_152,64420047,cattle,32,32,77,trapping,170,227,cattle->badger,2009,45,b2012,433,50,41,342
39560,13,SB0832,cattle,cattle,64420035_0,64420047_0,64420035,64420047,pasture,33,36,51,abattage,174,227,cattle->cattle,2009,18,b2012,433,50,41,342
39561,13,SB0832,cattle,cattle,64420039_1,64420047_0,64420039,64420047,pasture,33,36,51,abattage,175,227,cattle->cattle,2009,18,b2012,433,50,41,342
39562,13,SB0832,cattle,cattle,64420039_2,64420039_0,64420039,64420039,within,35,36,50,demographie,183,227,cattle->cattle,2009,15,b2012,433,50,41,342
39563,13,SB0832,cattle,cattle,64420047_1,64420047_0,64420047,64420047,within,36,42,45,abattage,185,227,cattle->cattle,2010,9,b2012,433,50,41,342
39564,13,SB0832,cattle,cattle,64420039_3,64420039_0,64420039,64420039,within,37,38,51,abattage,186,227,cattle->cattle,2010,14,b2012,433,50,41,342
39565,13,SB0832,cattle,cattle,64420047_2,64420047_0,64420047,64420047,within,37,39,44,demographie,187,227,cattle->cattle,2010,7,b2012,433,50,41,342
39566,13,SB0832,cattle,cattle,64420039_8,64420039_0,64420039,64420039,within,38,46,51,abattage,189,227,cattle->cattle,2010,13,b2012,433,50,41,342
39567,13,SB0832,cattle,cattle,64420039_4,64420039_2,64420039,64420039,within,38,-1,39,demographie,190,227,cattle->cattle,2010,1,b2012,433,50,41,342
39568,13,SB0832,cattle,cattle,64420039_7,64420039_2,64420039,64420039,within,38,39,51,abattage,191,227,cattle->cattle,2010,13,b2012,433,50,41,342
39569,13,SB0832,cattle,cattle,64420039_5,64420039_3,64420039,64420039,within,38,51,51,abattage,192,227,cattle->cattle,2010,13,b2012,433,50,41,342
39570,13,SB0832,cattle,cattle,64420039_6,64420039_3,64420039,64420039,within,38,-1,51,abattage,193,227,cattle->cattle,2010,13,b2012,433,50,41,342
39571,13,SB0832,cattle,cattle,64201008_1,64201008_0,64201008,64201008,within,39,43,65,abattage,195,227,cattle->cattle,2010,26,b2012,433,50,41,342
39572,13,SB0832,badger,cattle,45_d500_99_866_0,64420035_0,45_d500_99_866,64420035,cattle,39,39,50,demographie,196,227,cattle->badger,2010,11,b2012,433,50,41,342
39573,13,SB0832,badger,cattle,45_d500_157_858_1,64420035_0,45_d500_157_858,64420035,cattle,40,40,114,trapping,197,227,cattle->badger,2010,74,b2012,433,50,41,342
39574,13,SB0832,badger,cattle,45_d500_99_720_0,64420035_0,45_d500_99_720,64420035,cattle,40,40,157,NA,198,227,cattle->badger,2010,117,b2012,433,50,41,342
39575,13,SB0832,cattle,cattle,64420047_3,64420047_2,64420047,64420047,within,40,42,45,abattage,199,227,cattle->cattle,2010,5,b2012,433,50,41,342
39576,13,SB0832,cattle,cattle,64201008_2,64201008_0,64201008,64201008,within,41,43,65,abattage,200,227,cattle->cattle,2010,24,b2012,433,50,41,342
39577,13,SB0832,cattle,cattle,64201021_0,64201008_0,64201021,64201008,pasture,41,48,70,abattage,201,227,cattle->cattle,2010,29,b2012,433,50,41,342
39578,13,SB0832,cattle,cattle,64420002_0,64420039_3,64420002,64420039,pasture,41,43,53,abattage,203,227,cattle->cattle,2010,12,b2012,433,50,41,342
39579,13,SB0832,cattle,cattle,64420047_4,64420047_2,64420047,64420047,within,41,-1,45,abattage,204,227,cattle->cattle,2010,4,b2012,433,50,41,342
39580,13,SB0832,cattle,cattle,64420047_5,64420047_2,64420047,64420047,within,41,44,45,abattage,205,227,cattle->cattle,2010,4,b2012,433,50,41,342
39581,13,SB0832,boar,badger,64359_0,45_d500_99_720_0,64359,45_d500_99_720,badger,42,42,69,demographie,207,227,badger->boar,2010,27,b2012,433,50,41,342
39582,13,SB0832,cattle,cattle,64556051_0,64420039_0,64556051,64420039,pasture,42,44,54,demographie,209,227,cattle->cattle,2010,12,b2012,433,50,41,342
39583,13,SB0832,cattle,cattle,64420035_1,64420039_1,64420035,64420039,pasture,42,44,51,abattage,210,227,cattle->cattle,2010,9,b2012,433,50,41,342
39584,13,SB0832,cattle,cattle,64420044_1,64420047_1,64420044,64420047,pasture,42,43,62,demographie,211,227,cattle->cattle,2010,20,b2012,433,50,41,342
39585,13,SB0832,cattle,cattle,64201006_0,64201008_2,64201006,64201008,pasture,43,46,73,abattage,212,227,cattle->cattle,2010,30,b2012,433,50,41,342
39586,13,SB0832,cattle,cattle,64420047_8,64420047_1,64420047,64420047,within,43,-1,45,abattage,213,227,cattle->cattle,2010,2,b2012,433,50,41,342
39587,13,SB0832,cattle,cattle,64420047_6,64420047_2,64420047,64420047,within,43,-1,44,demographie,214,227,cattle->cattle,2010,1,b2012,433,50,41,342
39588,13,SB0832,cattle,cattle,64420047_7,64420047_2,64420047,64420047,within,43,44,45,abattage,215,227,cattle->cattle,2010,2,b2012,433,50,41,342
39589,13,SB0832,badger,cattle,45_d500_78_668_0,64420035_0,45_d500_78_668,64420035,cattle,44,44,106,demographie,216,227,cattle->badger,2010,62,b2012,433,50,41,342
