post,mu,pi
-1334.4057130410174,1e-4,0.9
-537.6442939314124,0.0010260664779103243,0.8608588919093985
-515.1912547018546,2.4699873967931e-4,0.9857983757303582
-519.3529818498408,2.4578723220863006e-4,0.9890371327560481
-548.2031798243319,2.0897802143256364e-4,0.9019965409991265
-536.4567864582833,5.42613253611422e-4,0.9902718857315412
-532.2134856417164,2.838234993900531e-4,0.977572099076249
-541.0509301322033,5.332067408972929e-4,0.9720166440462787
-585.887754936871,2.7627448651915636e-4,0.9278471584104724
-558.2885026676759,2.7079961650984297e-4,0.9528157110064123
-541.7263268845895,5.47866923522599e-4,0.9487806842253133
-532.3632444299432,4.614130078386968e-4,0.994340368863479
-543.0761449185825,4.25595487212257e-4,0.937513971406671
-534.0944078775444,3.0487372924984e-4,0.9896541628721822
-545.785388444386,2.668361252588978e-4,0.9502184861202543
-543.7959325909922,2.0919161221986092e-4,0.9592755562204467
-580.8311556690658,5.804394167963249e-4,0.8317240121487779
-535.8455338932555,6.28561081689907e-4,0.9853316121894319
-538.6390845739288,3.819797665539547e-4,0.9920225630634144
-544.9681664410531,5.467849735030574e-4,0.982882945932937
-535.6510189016395,5.707374317190291e-4,0.9978152913271059
-542.5692187311391,4.6442810841655266e-4,0.9856756888764722
-551.159870746584,5.585714542274789e-4,0.9983823654094603
-559.4646544901235,2.3783603285101008e-4,0.9598140299015802
-570.6220001044795,2.9572024363345046e-4,0.8881596723632512
-546.7925778761692,3.6753605632529785e-4,0.9455057844557886
-544.1447697348251,2.1110898474880198e-4,0.9983572703728358
-547.3058260020487,4.570393727578033e-4,0.9433368252187183
-562.5814733558644,3.9166461364843015e-4,0.9143067866737681
-583.468485105673,2.4257663945331323e-4,0.8888595628890238
-564.4738478830451,3.727916331744468e-4,0.8678410946152432
-547.6304872460329,8.09373926194191e-4,0.9967442183616121
-540.5718362921936,4.424350900765054e-4,0.9512193462164888
-552.1433739943141,5.086242297869706e-4,0.9598759857633533
-567.2548147867724,5.413112724472217e-4,0.935855672045646
-569.8657459650733,1.8082993573129234e-4,0.9151219457467074
-547.5064067819807,2.6062474815251205e-4,0.9711589676778334
-560.7884099014684,1.9776166367246162e-4,0.9772881403224033
-556.8092365259494,2.2288839024330422e-4,0.8970722505204407
-555.8476012359545,2.485762317484409e-4,0.9815803515010155
-557.1111512970098,5.867258482466009e-4,0.9357966578744917
-562.9261119448128,4.912825365131243e-4,0.967115779883979
-567.6874368302119,4.4976706667891516e-4,0.9591850371607255
-546.9660848576781,2.8043975091193794e-4,0.9694039762430917
-575.45577027428385,5.235980838697749e-4,0.921457590201179
-555.2780122098479,4.050705465177422e-4,0.9519958486149716
-566.4721894767991,5.308960717077748e-4,0.9486302159236978
-538.0715940583948,3.2649058357240446e-4,0.9889813531346211
-564.7405187273376,2.9209733877802116e-4,0.9608944372685252
-590.3821554341714,4.679256742409335e-4,0.8398867981534697
-582.5193954471501,1.1403622770940988e-4,0.949866860941203
-556.3000704389715,2.854072793732751e-4,0.9821589431645465
-579.4984497475881,4.3090580925084264e-4,0.9115582217017457
-593.9157556175014,6.429346218927289e-4,0.8265629087549944
-576.8131489733494,3.552071330950407e-4,0.9297457158243184
-587.7574386575069,2.8451232537997606e-4,0.9416424229959046
-552.6180606407905,3.7008710483389277e-4,0.9559337627444019
-568.5858809014032,5.825606601717673e-4,0.9805922990436207
-545.2146557563324,6.512519397542948e-4,0.9823651717334125
-560.6128745075736,5.020609983733219e-4,0.9143662802283619
-560.2825003848417,1.970908460938639e-4,0.9632311277191697
-547.1990924120806,2.145733954635299e-4,0.9765726494205964
-548.5679521805705,4.3882008468476016e-4,0.9381959771167185
-564.1767538583304,2.3109202357444797e-4,0.9471154432735622
-541.5434968509487,5.757002416841404e-4,0.9692445498522668
-573.9302346196873,1.2240718391639987e-4,0.9530876536644853
-539.8028256757211,4.879655451964694e-4,0.9868211277588419
-544.4864215112719,2.1024800970681587e-4,0.9717828785018524
-544.8085161302034,0.00057161911025797635,0.9864960843717498
-566.8975496843395,4.144794710069087e-4,0.9499097675605057
-555.2966940965906,3.789434188474327e-4,0.9523878699085111
-552.8332425634028,1.6920172547074135e-4,0.979035965332089
-547.3366239604633,2.893918292426796e-4,0.9841925525077817
-562.9089441679296,4.4854188513496424e-4,0.9282555754588988
-571.4804329751887,5.165699364782764e-4,0.9667999101353405
-565.278813461084,2.1551052213400842e-4,0.9227917106267086
-561.9106574351293,1.2184175669026318e-4,0.9636076108529786
-550.8547530899522,3.721224212660743e-4,0.9686312196076328
-548.759049290881,2.593002142080449e-4,0.9820217930949181
-610.646444671387,1.753977636663802e-4,0.7688885511144213
-540.6283760259283,2.802259127245077e-4,0.9793295685440236
-552.67228282772,4.17343455546739e-4,0.9814284325339439
-550.48594521268285,2.650179276233377e-4,0.9598792885714975
-571.4029299913493,5.53843050793325e-4,0.949005449470134
-557.4156132409206,4.406381954098575e-4,0.9747685817363672
-545.4391699050965,3.8761771987196465e-4,0.9972558813045524
-563.1429293135119,5.844056661554917e-4,0.9777683822113027
-553.1875774638269,3.1578804514801874e-4,0.9530547221299325
-542.3116781378806,5.798441141397869e-4,0.9615082892582574
-552.5516232260456,3.438014084600581e-4,0.9667837161371845
-563.7779569100792,5.892618689999775e-4,0.9705581408374311
-553.8214804859614,6.07192055413697e-4,0.9554140508442984
