64420015_0_cattle_2008-07-01,64420015_10_cattle_2011-12-01,64420015_11_cattle_2011-12-01,64420015_12_cattle_2011-11-01,64420015_13_cattle_2011-12-01,64420015_14_cattle_2011-12-01,64420015_15_cattle_2011-12-01,64420015_16_cattle_2011-12-01,64420015_17_cattle_2011-12-01,64420015_18_cattle_2011-12-01,64420015_19_cattle_2011-12-01,64420015_1_cattle_2008-03-01,64420015_20_cattle_2011-11-01,64420015_21_cattle_2011-12-01,64420015_22_cattle_2011-12-01,64420015_23_cattle_2011-12-01,64420015_24_cattle_2011-12-01,64420015_25_cattle_2011-12-01,64420015_26_cattle_2011-12-01,64420015_27_cattle_2011-12-01,64420015_28_cattle_2011-12-01,64420015_29_cattle_2011-12-01,64420015_2_cattle_2008-07-01,64420015_30_cattle_2011-12-01,64420015_31_cattle_2011-12-01,64420015_32_cattle_2011-12-01,64420015_33_cattle_2011-12-01,64420015_34_cattle_2011-12-01,64420015_35_cattle_2011-12-01,64420015_36_cattle_2011-12-01,64420015_37_cattle_2011-12-01,64420015_38_cattle_2011-12-01,64420015_3_cattle_2008-06-01,64420015_4_cattle_2008-07-01,64420015_5_cattle_2008-07-01,64420015_6_cattle_2008-07-01,64420015_7_cattle_2011-12-01,64420015_8_cattle_2011-12-01,64420015_9_cattle_2010-11-01,64420044_0_cattle_2011-02-01,64420044_10_cattle_2011-02-01,64420044_11_cattle_2011-02-01,64420044_12_cattle_2011-02-01,64420044_13_cattle_2011-01-01,64420044_14_cattle_2011-02-01,64420044_15_cattle_2011-02-01,64420044_16_cattle_2011-02-01,64420044_17_cattle_2011-02-01,64420044_18_cattle_2011-02-01,64420044_19_cattle_2011-02-01,64420044_1_cattle_2011-02-01,64420044_20_cattle_2011-02-01,64420044_21_cattle_2011-02-01,64420044_22_cattle_2011-02-01,64420044_23_cattle_2011-02-01,64420044_24_cattle_2012-02-01,64420044_2_cattle_2011-02-01,64420044_3_cattle_2011-02-01,64420044_4_cattle_2010-04-01,64420044_5_cattle_2011-02-01,64420044_6_cattle_2011-02-01,64420044_7_cattle_2010-08-01,64420044_8_cattle_2011-02-01,64420044_9_cattle_2011-02-01
0,0,0,0,0,0,0,0,0,0,0,0.08458308338332382,0,0,0,0,0,0,0,0,0,0,0.019196160767846394,0,0,0,0,0,0,0,0,0,0.018996200759847995,0.0155968806238752,0.0165966806638672,0.0167966406718656,0,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0,7.998400319936012e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0
0,0,0.002999400119976005,0,0,0.002999400119976005,0,0,0,0.002999400119976005,0,0,0,0,0.002999400119976005,0,0,0.002999400119976005,0.002999400119976005,0.002999400119976005,0.002999400119976005,0.002999400119976005,0,0,0,0,0,0,0.19296140771846015,0,0,0.002999400119976005,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0.002999400119976005
0,3.999200159968006e-4,0,0,0,0.09158168366326805,0,0,0,3.999200159968006e-4,0,0,0,0,3.999200159968006e-4,0,0,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,3.999200159968006e-4
0,0,0,0,0.033593281343731164,0,0.03499300139971996,0.0023995200959808036,0.007398520295940815,0,0.002999400119976005,0,0.34393121375724406,0.042991401719655944,0,0.006598680263947213,0.008998200359928014,0,0,0,0,0,0,0.0067986402719456135,0.009598080383923213,0.009398120375924813,0.006998600279944014,0.03159368126374717,0,0.004799040191961609,0.027594481103779177,0,0,0,0,0,5.998800239952009e-4,0.05458908218356312,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0.007198560287942414,0,0,0,0,0,0.029194161167766373,0,0,0,0,0,0,0,0,0
0,0,0,0.05598880223955192,0,0,0.04359128174365114,0.002199560087982403,0.011597680463907209,0,0.0017996400719856025,0,0.04859028194361113,0.04979004199160153,0,0.012197560487902407,0.004799040191961609,0,0,0,0,0,0,0.008798240351929614,0.008198360327934416,0.019196160767846394,0.01079784043191361,0.28834233153369476,0,0.01099780043991201,0.23655268946211278,0,0,0,0,0,0.001399720055988802,0.13977204559088402,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0.03079384123175357,0,0,0,0,0,0,0,0,0
0,5.998800239952009e-4,0.05518896220755832,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,7.998400319936012e-4,0,0,7.998400319936012e-4,7.998400319936012e-4,7.998400319936012e-4,7.998400319936012e-4,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,7.998400319936012e-4
0,0,0,0.022795440911817587,0.0167966406718656,0,0,0.0015996800639872023,0.0067986402719456135,0,0.0011997600479904018,0,0.024395120975804784,0.3857228554289052,0,0.003399320135972806,0.0045990801839632086,0,0,0,0,0,0,0.001399720055988802,0.008198360327934416,0.003999200159968007,0.0015996800639872023,0.0161967606478704,0,0.004799040191961609,0.013397320535892805,0,0,0,0,0,5.998800239952009e-4,0.024195160967806384,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0.0167966406718656,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.037392521495700756,0,0.037392521495700756,0,0,0,0,0.037392521495700756,0.037392521495700756,0,0,0,0,0,0,0.037392521495700756,0.037392521495700756,0.037392521495700756,0.037392521495700756,0,0,0.037392521495700756,0,0,0,0,0,0,0.037392521495700756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.10317936412717563,0,0,0.10317936412717563,0,0,0,0,0.10317936412717563,0.10317936412717563,0,0,0,0,0,0,0.10317936412717563,0.10317936412717563,0.10317936412717563,0.10317936412717563,0,0,0.10317936412717563,0,0,0,0,0,0,0.10317936412717563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,1.999600079984003e-4,0,0,0.037392521495700756,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,1.999600079984003e-4
