40089001_0_cattle_2012-04-01,40089001_10_cattle_2011-06-01,40089001_11_cattle_2012-04-01,40089001_12_cattle_2012-04-01,40089001_13_cattle_2012-04-01,40089001_14_cattle_2012-04-01,40089001_15_cattle_2012-04-01,40089001_16_cattle_2012-04-01,40089001_17_cattle_2012-04-01,40089001_18_cattle_2012-04-01,40089001_19_cattle_2012-04-01,40089001_1_cattle_2012-04-01,40089001_20_cattle_2012-04-01,40089001_21_cattle_2012-04-01,40089001_22_cattle_2012-04-01,40089001_23_cattle_2012-04-01,40089001_24_cattle_2012-04-01,40089001_25_cattle_2012-04-01,40089001_26_cattle_2012-04-01,40089001_2_cattle_2012-04-01,40089001_3_cattle_2012-04-01,40089001_4_cattle_2012-03-01,40089001_5_cattle_2011-06-01,40089001_6_cattle_2012-04-01,40089001_7_cattle_2012-04-01,40089001_8_cattle_2012-04-01,40089001_9_cattle_2012-04-01,40270058_0_cattle_2014-02-01,40270058_1_cattle_2014-04-01,40270058_2_cattle_2014-02-01,64281001_0_cattle_2014-02-01,64281001_1_cattle_2014-04-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2008-12-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-06-01,64420015_14_cattle_2009-06-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-06-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-01-01,64420015_1_cattle_2009-06-01,64420015_20_cattle_2009-03-01,64420015_21_cattle_2009-04-01,64420015_22_cattle_2009-06-01,64420015_23_cattle_2009-04-01,64420015_24_cattle_2009-04-01,64420015_25_cattle_2009-06-01,64420015_26_cattle_2009-04-01,64420015_27_cattle_2009-04-01,64420015_28_cattle_2009-04-01,64420015_29_cattle_2009-04-01,64420015_2_cattle_2009-06-01,64420015_30_cattle_2009-04-01,64420015_31_cattle_2009-04-01,64420015_32_cattle_2009-04-01,64420015_33_cattle_2009-04-01,64420015_34_cattle_2009-04-01,64420015_35_cattle_2009-06-01,64420015_36_cattle_2009-06-01,64420015_37_cattle_2009-06-01,64420015_38_cattle_2009-06-01,64420015_39_cattle_2013-04-01,64420015_3_cattle_2009-06-01,64420015_40_cattle_2013-02-01,64420015_41_cattle_2013-02-01,64420015_42_cattle_2013-02-01,64420015_43_cattle_2013-02-01,64420015_44_cattle_2013-02-01,64420015_45_cattle_2013-02-01,64420015_46_cattle_2013-04-01,64420015_47_cattle_2013-02-01,64420015_48_cattle_2013-02-01,64420015_49_cattle_2013-04-01,64420015_4_cattle_2009-06-01,64420015_50_cattle_2013-04-01,64420015_51_cattle_2013-02-01,64420015_52_cattle_2013-02-01,64420015_53_cattle_2013-04-01,64420015_54_cattle_2013-04-01,64420015_55_cattle_2014-12-01,64420015_56_cattle_2014-12-01,64420015_5_cattle_2009-06-01,64420015_6_cattle_2009-06-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-06-01,64420015_9_cattle_2009-04-01,64420035_0_cattle_2013-12-01,64420035_1_cattle_2013-12-01,64420035_2_cattle_2013-12-01,64420035_3_cattle_2013-12-01,64420039_0_cattle_2014-03-01,64420039_1_cattle_2013-03-01,64420039_2_cattle_2014-01-01,64420039_3_cattle_2013-09-01,64420039_4_cattle_2014-01-01,64420039_5_cattle_2014-01-01,64420042_0_cattle_2013-12-01,64420042_1_cattle_2014-02-01,64420044_0_cattle_2010-09-01,64420044_10_cattle_2010-09-01,64420044_11_cattle_2010-09-01,64420044_12_cattle_2010-09-01,64420044_13_cattle_2014-03-01,64420044_14_cattle_2014-03-01,64420044_15_cattle_2014-02-01,64420044_16_cattle_2014-03-01,64420044_17_cattle_2014-03-01,64420044_18_cattle_2014-03-01,64420044_19_cattle_2014-03-01,64420044_1_cattle_2010-09-01,64420044_20_cattle_2015-03-01,64420044_2_cattle_2010-09-01,64420044_3_cattle_2010-09-01,64420044_4_cattle_2010-08-01,64420044_5_cattle_2010-09-01,64420044_6_cattle_2010-09-01,64420044_7_cattle_2010-09-01,64420044_8_cattle_2010-09-01,64420044_9_cattle_2010-09-01,64420047_0_cattle_2013-02-01,64420047_10_cattle_2013-02-01,64420047_11_cattle_2013-02-01,64420047_12_cattle_2013-02-01,64420047_13_cattle_2013-02-01,64420047_14_cattle_2013-02-01,64420047_15_cattle_2014-02-01,64420047_16_cattle_2014-02-01,64420047_1_cattle_2011-03-01,64420047_2_cattle_2011-07-01,64420047_3_cattle_2013-02-01,64420047_4_cattle_2012-09-01,64420047_5_cattle_2013-01-01,64420047_6_cattle_2013-02-01,64420047_7_cattle_2013-02-01,64420047_8_cattle_2012-09-01,64420047_9_cattle_2013-02-01,64556051_0_cattle_2014-03-01
0,0.15608439156084283,0.2518748125187369,0.07929207079292185,0.08219178082191902,0.0846915308469166,0.08989101089891154,0.045795420457954435,0.08559144085591572,0.07859214078592253,0.1643835616438336,0,0.061893810618938776,0.07449255074492651,0.11748825117488469,0.360863913608646,0.02409759024097579,0.05259474052594782,0.06549345065493527,0.10898910108989296,0.11158884111589043,0.1643835616438336,0.14268573142685773,0.13458654134586673,0.08899110088991241,0.012398760123987574,0.1643835616438336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004099590040995902,0,0.004699530046995303,0.010998900109988984,0.004799520047995203,0.007199280071992806,0.006599340065993406,0.0088991100889911,0.008299170082991704,0.005899410058994105,0.01419858014198576,0,0.008599140085991401,0.007599240075992407,0.013898610138986063,0.009599040095990394,2.9997000299970003e-4,0.004399560043995603,0.004399560043995603,0.004899510048995103,0.01419858014198576,0.01419858014198576,0.11448855114488761,0.01419858014198576,0.003899610038996102,1.9998000199980003e-4,0.01419858014198576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061093890610939554,0.012298770122987674,0,0.005599440055994404,0.005399460053994604,0.010898910108989085,0.008499150084991502,0.005399460053994604,0.009199080091990797,0.003999600039996002,0.012298770122987674,0,0.004999500049995003,0.0037996200379962018,0.007899210078992107,0.05989401059894072,8.999100089991002e-4,0.003299670032996701,0.004099590040995902,0.009299070092990696,0.007599240075992407,0.012298770122987674,0.010698930106989286,0.010598940105989387,0.006699330066993306,5.999400059994001e-4,0.012298770122987674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005699430056994304,0.009899010098990092,0.005599440055994404,0,0.004199580041995802,0.004499550044995503,0.006099390060993905,0.003299670032996701,0.004699530046995303,0.005199480051994804,0.009899010098990092,0,0.004199580041995802,0.0037996200379962018,0.007599240075992407,0.0035996400359964015,0.0023997600239976,0.0024997500249975,0.003199680031996801,0.005399460053994604,0.008599140085991401,0.009899010098990092,0.008299170082991704,0.009199080091990797,0.4408559144085793,0,0.009899010098990092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.4451554844515757,0,0,0,0,0,0,0,0,0.4451554844515757,0,0,0,0,0,0,0,0,0.4451554844515757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021897810218978006,0.020497950204979416,0.027697230276972164,0.007899210078992107,0.010398960103989588,0,0.010298970102989689,0.004099590040995902,0.012198780121987775,0.010398960103989588,0.0225977402259773,0,0.010698930106989286,0.012298770122987674,0.013998600139985962,0.021897810218978006,0.004799520047995203,0.005199480051994804,0.008299170082991704,0.41655834416559956,0.017498250174982438,0.0225977402259773,0.019398060193980524,0.016698330166983244,0.013098690130986869,0.003299670032996701,0.0225977402259773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.5322467753225031,0,0.5322467753225031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.3566643335666495,0,0,0,0,0,0,0,0,0,0,0,0.3566643335666495,0,0,0,0,0,0,0,0,0.3566643335666495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015998400159983996,0.004099590040995902,0.0035996400359964015,0.0019998000199979993,4.999500049995e-4,0.004099590040995902,0.0022997700229976997,0.0035996400359964015,0,0.4854514548545421,0.004099590040995902,0,0.0023997600239976,0.0017998200179981994,0.0036996300369963016,0.0024997500249975,0,2.9997000299970003e-4,0.0013998600139985998,0,0.0014998500149984997,0.004099590040995902,0.004099590040995902,0.0016998300169982995,0.0020997900209978994,0,0.004099590040995902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0023997600239976,0.004999500049995003,0.004399560043995603,0.0016998300169982995,0.0011998800119988,0.003399660033996601,0.003899610038996102,0.0020997900209978994,0.5082491750825231,0,0.004999500049995003,0,0.0035996400359964015,0.0010998900109989,0.0035996400359964015,0.0023997600239976,5.999400059994001e-4,5.999400059994001e-4,0.0011998800119988,0.0015998400159983996,0.0016998300169982995,0.004999500049995003,0.004999500049995003,0.0024997500249975,0.0016998300169982995,0.0010998900109989,0.004999500049995003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
