64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-02-01,64420015_11_cattle_2008-05-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-04-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-01-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-02-01,64420015_19_cattle_2009-02-01,64420015_1_cattle_2009-02-01,64420015_20_cattle_2009-02-01,64420015_21_cattle_2009-04-01,64420015_22_cattle_2009-02-01,64420015_23_cattle_2009-04-01,64420015_24_cattle_2009-04-01,64420015_25_cattle_2009-04-01,64420015_26_cattle_2009-04-01,64420015_27_cattle_2009-02-01,64420015_28_cattle_2009-04-01,64420015_29_cattle_2009-04-01,64420015_2_cattle_2009-04-01,64420015_30_cattle_2009-04-01,64420015_31_cattle_2009-04-01,64420015_32_cattle_2009-04-01,64420015_33_cattle_2009-04-01,64420015_34_cattle_2010-06-01,64420015_35_cattle_2010-05-01,64420015_36_cattle_2010-06-01,64420015_37_cattle_2010-06-01,64420015_38_cattle_2010-06-01,64420015_39_cattle_2010-06-01,64420015_3_cattle_2009-04-01,64420015_40_cattle_2010-06-01,64420015_41_cattle_2010-06-01,64420015_42_cattle_2010-06-01,64420015_4_cattle_2009-02-01,64420015_5_cattle_2009-02-01,64420015_6_cattle_2009-02-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-02-01,64420015_9_cattle_2009-02-01,64420044_0_cattle_2010-05-01,64420044_10_cattle_2010-05-01,64420044_11_cattle_2010-05-01,64420044_12_cattle_2010-05-01,64420044_13_cattle_2010-05-01,64420044_14_cattle_2010-05-01,64420044_15_cattle_2010-05-01,64420044_16_cattle_2010-05-01,64420044_17_cattle_2010-05-01,64420044_18_cattle_2010-05-01,64420044_19_cattle_2010-05-01,64420044_1_cattle_2010-05-01,64420044_20_cattle_2010-05-01,64420044_21_cattle_2010-05-01,64420044_22_cattle_2010-05-01,64420044_23_cattle_2010-05-01,64420044_24_cattle_2010-05-01,64420044_25_cattle_2010-05-01,64420044_26_cattle_2010-05-01,64420044_27_cattle_2010-04-01,64420044_28_cattle_2010-05-01,64420044_29_cattle_2010-05-01,64420044_2_cattle_2010-04-01,64420044_30_cattle_2010-05-01,64420044_31_cattle_2010-05-01,64420044_32_cattle_2010-05-01,64420044_33_cattle_2010-05-01,64420044_34_cattle_2010-05-01,64420044_35_cattle_2010-05-01,64420044_36_cattle_2010-05-01,64420044_37_cattle_2010-05-01,64420044_3_cattle_2010-05-01,64420044_4_cattle_2010-05-01,64420044_5_cattle_2010-05-01,64420044_6_cattle_2010-05-01,64420044_7_cattle_2010-05-01,64420044_8_cattle_2010-05-01,64420044_9_cattle_2009-11-01,64420047_0_cattle_2009-08-01,64420047_1_cattle_2010-03-01,64420047_2_cattle_2010-02-01
0,0,0,0,0.41071785642870257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4121175764846912,0,0.588282343531263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4903019396120573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001399720055988802,5.998800239952009e-4,0,0.0045990801839632086,7.998400319936012e-4,0.004799040191961609,0.0037992401519696068,0.004799040191961609,0,0.004799040191961609,7.998400319936012e-4,0.0019996000799840027,0,0.004799040191961609,0.004199160167966408,0.001399720055988802,3.999200159968006e-4,0,0.004799040191961609,0.002999400119976005,0.004799040191961609,9.998000399920016e-4,9.998000399920016e-4,1.999600079984003e-4,0.004799040191961609,0.002199560087982403,0.0019996000799840027,0,0,0,0,0,0,0.004799040191961609,0,0,0,0.004799040191961609,0.0017996400719856025,0,0.004799040191961609,0.004799040191961609,0.0019996000799840027,0.0011997600479904018,0,0,3.999200159968006e-4,0,0,0,0,3.999200159968006e-4,1.999600079984003e-4,0,1.999600079984003e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.004799040191961609,0,0
0.00519896020795841,0.002999400119976005,0.008398320335932815,0,9.998000399920016e-4,0.008398320335932815,0.0045990801839632086,0.008398320335932815,0,0.008398320335932815,0.0045990801839632086,1.999600079984003e-4,0.0011997600479904018,0.008398320335932815,0.00539892021595681,1.999600079984003e-4,0.0023995200959808036,3.999200159968006e-4,0.007398520295940815,0.0037992401519696068,0.008398320335932815,0.003399320135972806,0.0037992401519696068,7.998400319936012e-4,0.008398320335932815,0.001399720055988802,3.999200159968006e-4,0,0.21795640871826097,0,0,0,0,0.008398320335932815,0,0,0.3183363327334516,0.008398320335932815,0.0045990801839632086,3.999200159968006e-4,0.008398320335932815,0.008398320335932815,0.0035992801439712063,0.15236952609478363,0,0.3265346930613851,0.126974605078986,0.41291741651668473,0.35252949410117435,0.11257748450310073,0.09198160367926486,0.16776644671066093,0.32793441311737376,0.17816436712657807,0.2311537692461558,0.1055788842231565,0.23575284943011915,0.19996000799840438,0.1609678064387151,0.14077184563087605,0,0.19336132773445697,0.4189162167566361,0.200759848030398,0.3249350129973981,0.4189162167566361,0.16576684663067687,0.23595280943811756,0,0.1725654869026227,0.1393721255748872,0.33073385322935106,0.2511497700459963,0.1479704059188187,0.18716256748650636,0.11937612477504655,0,0.1819636072785478,0.27634473105379204,0.20915816836633108,0.4191161767646345,0.008398320335932815,0.4191161767646345,0.4191161767646345
0.07258548290341943,0.012397520495900807,0.027194561087782378,0.012397520495900807,0,0.027194561087782378,0.009198160367926414,0.027194561087782378,0,0.027194561087782378,0.010197960407918412,0.005598880223955211,0.0017996400719856025,0.02139572085582879,0.014797040591881602,5.998800239952009e-4,0.0017996400719856025,0.0049990001999600095,0.024395120975804784,0.011597680463907209,0.027194561087782378,0.008998200359928014,0.017996400719855997,0.15956808638272627,0.027194561087782378,0.07678464307138597,0.0045990801839632086,0,0,0,0,0,0,0.027194561087782378,0,0,0,0.027194561087782378,0.0155968806238752,0.004399120175964808,0.027194561087782378,0.027194561087782378,0.011397720455908809,0,0,0.002199560087982403,0,0,0.0027994401119776045,0,0,1.999600079984003e-4,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0.0017996400719856025,7.998400319936012e-4,0,0.027194561087782378,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003999200159968007,0.0045990801839632086,0.010397920415916811,0.008398320335932815,1.999600079984003e-4,0.010397920415916811,0,0.010397920415916811,0,0.010397920415916811,0.0035992801439712063,0.002599480103979204,5.998800239952009e-4,0.010397920415916811,0.005798840231953611,0,0.0019996000799840027,0,0.007198560287942414,0.004199160167966408,0.010397920415916811,0.004399120175964808,0.504899020195939,0,0.010397920415916811,0.006198760247950412,0.003399320135972806,0,0,0,0,0,0,0.010397920415916811,0,0,0,0.010397920415916811,0.006198760247950412,0,0.010397920415916811,0.010397920415916811,0.004199160167966408,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0.010397920415916811,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0.005598880223955211,0.005598880223955211,0.005598880223955211,0,0,0,0.005598880223955211,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.998000399920016e-4,0,9.998000399920016e-4,5.998800239952009e-4,0,9.998000399920016e-4,9.998000399920016e-4,9.998000399920016e-4,0,9.998000399920016e-4,0,0.33733253349329756,0,9.998000399920016e-4,9.998000399920016e-4,0,0,0,9.998000399920016e-4,0,9.998000399920016e-4,5.998800239952009e-4,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,9.998000399920016e-4,9.998000399920016e-4,3.999200159968006e-4,9.998000399920016e-4,9.998000399920016e-4,0.3381323735252911,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0
0,0,0,0,0,0,0,0,0,0,0.2309538092381574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23055388922216058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05558888222355512,0,0,0,0,0,0,0.05558888222355512,0.05558888222355512,0.05558888222355512,0,0,0,0.05558888222355512,0,0,0,0,0.05558888222355512,0,0,0,0,0,0,0,0,0,0,0,0,0.05558888222355512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2001599680064028,0.2129574085183008,0.3943211357728355,0.3329334133173332,0.06598680263947201,0.3943211357728355,0.21375724855029443,0.39392121575683875,0.0027994401119776045,0.3943211357728355,0.14417116576684896,0.08878224355129036,0.024995000999799982,0,0.1819636072785478,0.012197560487902407,0.08058388322335569,0.09378124375125052,0.40891821635671716,0.18776244751050158,0.39412117576483713,0.06978604279144174,0.1851629674065223,0.05498900219955992,0.39412117576483713,0.1147770445910832,0.09878024395121068,0,0,0,0,0,0,0.3943211357728355,0,0,3.999200159968006e-4,0.3943211357728355,0.2063587282543534,0.011397720455908809,0.3943211357728355,0.3943211357728355,0.17396520695861153,0,0,9.998000399920016e-4,0.011997600479904008,0.002199560087982403,0.03459308138372316,0,0,0.004199160167966408,0.02159568086382719,0,0.020395920815836792,0.006598680263947213,1.999600079984003e-4,0.0027994401119776045,0.011797640471905608,9.998000399920016e-4,0,0.010197960407918412,0,0,0.017996400719855997,0,1.999600079984003e-4,0.0027994401119776045,0,0.0067986402719456135,0.0027994401119776045,0,0.015196960607878401,0.0031993601279744054,5.998800239952009e-4,0.0045990801839632086,0,0,0.011597680463907209,0.007398520295940815,0,0.3943211357728355,0,0
0,0.5076984603079163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.03579284143171356,0,0,0,0.03579284143171356,0,0,0,0.03579284143171356,0.03579284143171356,0,0,0,0.03579284143171356,0,0,0,0,0.03579284143171356,0,0,0,0,0,0,0,0,0,0,0,0,0.03579284143171356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.20275944811038207,0,0,0,0.20275944811038207,0,0,0.20275944811038207,0,0.20275944811038207,0,0,0,0.20275944811038207,0,0,0,0,0.20275944811038207,0,0,0,0,0,0,0,0,0,0,0,0,0.20275944811038207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.2343531293741303,0,0,0,0.2343531293741303,0,0,0.2343531293741303,0.2343531293741303,0,0,0,0,0.2343531293741303,0,0,0,0,0.2343531293741303,0,0,0,0,0,0,0,0,0,0,0,0,0.2343531293741303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
