64281001_0_cattle_2011-10-01,64281001_1_cattle_2013-04-01,64281003_0_cattle_2014-02-01,64281008_0_cattle_2013-12-01,64281008_1_cattle_2013-12-01,64281008_2_cattle_2013-12-01,64281008_3_cattle_2013-12-01,64420012_0_cattle_2013-02-01,64420012_1_cattle_2013-04-01,64420012_2_cattle_2013-02-01,64420012_3_cattle_2013-02-01,64420012_4_cattle_2013-02-01,64420012_5_cattle_2013-02-01,64420012_6_cattle_2013-02-01,64420015_0_cattle_2008-09-01,64420015_10_cattle_2008-09-01,64420015_11_cattle_2008-09-01,64420015_12_cattle_2008-09-01,64420015_13_cattle_2010-12-01,64420015_14_cattle_2010-11-01,64420015_15_cattle_2010-12-01,64420015_1_cattle_2008-09-01,64420015_2_cattle_2008-09-01,64420015_3_cattle_2008-09-01,64420015_4_cattle_2008-09-01,64420015_5_cattle_2008-08-01,64420015_6_cattle_2008-09-01,64420015_7_cattle_2008-09-01,64420015_8_cattle_2008-09-01,64420015_9_cattle_2008-09-01,64420035_0_cattle_2012-01-01,64420035_1_cattle_2012-01-01,64420035_2_cattle_2011-12-01,64420038_0_cattle_2012-02-01,64420038_1_cattle_2013-02-01,64420038_2_cattle_2013-04-01,64420038_3_cattle_2013-02-01,64420038_4_cattle_2013-02-01,64420038_5_cattle_2013-02-01,64420038_6_cattle_2013-02-01,64420039_0_cattle_2012-03-01,64420039_10_cattle_2012-03-01,64420039_11_cattle_2012-03-01,64420039_12_cattle_2012-03-01,64420039_13_cattle_2012-03-01,64420039_1_cattle_2012-03-01,64420039_2_cattle_2012-03-01,64420039_3_cattle_2012-02-01,64420039_4_cattle_2012-03-01,64420039_5_cattle_2012-03-01,64420039_6_cattle_2012-03-01,64420039_7_cattle_2012-03-01,64420039_8_cattle_2012-03-01,64420039_9_cattle_2012-03-01,64420044_0_cattle_2011-02-01,64420044_10_cattle_2011-02-01,64420044_11_cattle_2011-02-01,64420044_12_cattle_2010-07-01,64420044_13_cattle_2011-02-01,64420044_14_cattle_2011-02-01,64420044_15_cattle_2011-02-01,64420044_16_cattle_2011-02-01,64420044_17_cattle_2011-02-01,64420044_18_cattle_2011-02-01,64420044_19_cattle_2011-02-01,64420044_1_cattle_2011-02-01,64420044_20_cattle_2011-02-01,64420044_21_cattle_2011-02-01,64420044_22_cattle_2011-02-01,64420044_23_cattle_2011-02-01,64420044_24_cattle_2011-02-01,64420044_2_cattle_2011-02-01,64420044_3_cattle_2010-11-01,64420044_4_cattle_2010-04-01,64420044_5_cattle_2011-02-01,64420044_6_cattle_2011-02-01,64420044_7_cattle_2011-02-01,64420044_8_cattle_2011-02-01,64420044_9_cattle_2011-02-01,64420047_0_cattle_2011-08-01,64420047_10_cattle_2011-09-01,64420047_11_cattle_2011-09-01,64420047_12_cattle_2011-09-01,64420047_13_cattle_2011-09-01,64420047_14_cattle_2011-09-01,64420047_15_cattle_2011-09-01,64420047_1_cattle_2011-09-01,64420047_2_cattle_2011-08-01,64420047_3_cattle_2011-09-01,64420047_4_cattle_2011-09-01,64420047_5_cattle_2011-07-01,64420047_6_cattle_2011-09-01,64420047_7_cattle_2011-09-01,64420047_8_cattle_2011-09-01,64420047_9_cattle_2011-09-01
0,0,0,0,0,9.999000099990002e-5,0,0,0,0,9.999000099990002e-5,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999000099990002e-5,0,9.999000099990002e-5,0,9.999000099990002e-5,0,9.999000099990002e-5,0,0,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999000099990002e-5,0,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.99900009999e-4,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,0,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,9.999000099990002e-5,0
0,0,0.0812918708129199,0.08599140085991533,0.09629037096290531,0.08619138086191513,0.09189081091890959,0,0.10908909109089286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02549745025497438,0,0.057094290570943444,0.06059394060594004,0.0553944605539451,0.16308369163083505,0,0.035196480351964744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0407959204079593,0.08969103089691173,0,0.12608739126087617,0.20447955204478904,0.0994900509949022,0,0.06519348065193556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.029097090290970754,0.08219178082191902,0.09719028097190444,0,0.09829017098290337,0.0846915308469166,0,0.04599540045995424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.055994400559944514,0.11258874112588946,0.21547845215477682,0.15128487151284817,0,0.11928807119288294,0,0.08019198080192097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03209679032096776,0.27147285271472055,0.0994900509949022,0.10528947105289656,0.08939106089391202,0,0,0.05329467053294714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.3567643235676494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15148485151484795,0,0.15038496150384917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.10048995100490123,0.11228877112288975,0.14248575142485795,0.15868413158683994,0.14188581141885862,0.13908609139086173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2705729427057213,0,0,0,0,0.37606239376063333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9998000199980003e-4,0,0,0,1.9998000199980003e-4,0,0,9.999000099990002e-5,0,0,0,1.9998000199980003e-4,0,0.4366563343665828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,1.9998000199980003e-4,0,1.9998000199980003e-4,0,0,0,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0,0,1.9998000199980003e-4,0,0,0,0,0,0,0,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,1.9998000199980003e-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.32256774322567794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12608739126087617,0,0.12558744125587673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.5031496850315273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14308569143085728,0.016598340165983345,0.020297970202979618,3.9996000399960006e-4,1.9998000199980003e-4,0,0.016398360163983546,0.1105889411058914,0.014898510148985055,0.01419858014198576,0.01999800019997992,0.01859814018598133,0.01589841015898405,0.13888611138886195,0.02399760023997589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999200079992001e-4,0,3.9996000399960006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22137786221377026,0,0.04999500049995035,0.033796620337966106,9.999000099990002e-5,8.999100089991002e-4,0,0.030296970302969545,0.1878812118788075,0.023197680231976697,0.03209679032096776,0.055994400559944514,0.04739526047395288,0.035596440355964355,0.3276672332766737,0.03799620037996202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016998300169982995,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013698630136986264,0.014998500149984955,0,0.013298670132986667,0.010998900109988984,0.007999200079992006,2.9997000299970003e-4,0.014798520147985156,0.018098190180981834,0.01589841015898405,0.017898210178982035,0.09649035096490512,0.15938406159383917,0.018298170182981632,0.01419858014198576,0.014598540145985358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007199280071992806,0.0015998400159983996,0,0,0,0,0.0016998300169982995,0,3.9996000399960006e-4,0,0,0,0,0,0,0.0010998900109989,0.021697830216978208,1.9998000199980003e-4,0.0011998800119988,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02939706029397045,0.023797620237976092,0.03399660033996591,0,0.0011998800119988,7.999200079992001e-4,0,0.11838816118388382,0.02959704029597025,0.11908809119088314,0.02539746025397448,0.039196080391960854,0.027197280271972667,0.024897510248974984,0.021797820217978107,0.10878912108789315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010998900109989,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048395160483951906,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227977202279771,0.010598940105989387,0.03219678032196766,0.05659434056594393,0.028797120287971056,0.017798220177982136,0.008199180081991804,0.016198380161983748,0.0224977502249774,0.003999600039996002,0.006999300069993006,0.024997500249974883,0.004099590040995902,0,0.0026997300269973002,1.9998000199980003e-4,0.018098190180981834,0,2.9997000299970003e-4,0.049095090490951225,0.0028997100289971005,0.021597840215978308,9.999000099990002e-5,0.028897110288970955,0.025097490250974783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022097790220977805,0,6.999300069993001e-4,0,0,0,0,0,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006899310068993106,0.0035996400359964015,0.010398960103989588,0.030196980301969645,0.0088991100889911,0.006099390060993905,0.005699430056994304,0.0042995700429957024,0.007199280071992806,0.0036996300369963016,0.005899410058994105,0.003899610038996102,0.0020997900209978994,0,0.0019998000199979993,0,0.003999600039996002,0,2.9997000299970003e-4,0.022097790220977805,0.0042995700429957024,0.0064993500649935055,0,0.012298770122987674,0.005299470052994704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03499650034996494,0,0,0,0,0.02969703029697015,0,0,0,0.0517948205179486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04259574042595755,0.03689631036896309,0.08829117088291309,0.23477652234775537,0.0035996400359964015,0.0012998700129986998,0,0,0.04629537046295395,0.35706429357064917,0.05939406059394121,0.09099090090991047,0.07999200079992116,0.045095490450955115,0.04049595040495959,0.20777922207778537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025997400259974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023997600239976,0,0.0021997800219977996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
