40089001_0_cattle_2010-06-01,40089001_10_cattle_2010-11-01,40089001_11_cattle_2010-11-01,40089001_12_cattle_2010-11-01,40089001_1_cattle_2010-11-01,40089001_2_cattle_2010-11-01,40089001_3_cattle_2010-11-01,40089001_4_cattle_2010-10-01,40089001_5_cattle_2010-11-01,40089001_6_cattle_2010-11-01,40089001_7_cattle_2010-11-01,40089001_8_cattle_2010-11-01,40089001_9_cattle_2010-11-01,64420015_0_cattle_2009-10-01,64420015_10_cattle_2009-10-01,64420015_11_cattle_2009-10-01,64420015_12_cattle_2009-10-01,64420015_13_cattle_2009-10-01,64420015_14_cattle_2009-10-01,64420015_15_cattle_2009-10-01,64420015_16_cattle_2009-10-01,64420015_17_cattle_2009-09-01,64420015_18_cattle_2009-10-01,64420015_19_cattle_2009-10-01,64420015_1_cattle_2009-10-01,64420015_20_cattle_2009-10-01,64420015_21_cattle_2009-10-01,64420015_22_cattle_2009-10-01,64420015_23_cattle_2009-10-01,64420015_24_cattle_2009-10-01,64420015_25_cattle_2009-10-01,64420015_26_cattle_2009-10-01,64420015_27_cattle_2009-10-01,64420015_28_cattle_2009-10-01,64420015_29_cattle_2009-10-01,64420015_2_cattle_2009-10-01,64420015_30_cattle_2009-10-01,64420015_31_cattle_2009-10-01,64420015_32_cattle_2012-02-01,64420015_33_cattle_2012-01-01,64420015_34_cattle_2012-01-01,64420015_35_cattle_2012-02-01,64420015_36_cattle_2012-02-01,64420015_37_cattle_2012-02-01,64420015_3_cattle_2009-10-01,64420015_4_cattle_2009-10-01,64420015_5_cattle_2009-10-01,64420015_6_cattle_2009-10-01,64420015_7_cattle_2009-10-01,64420015_8_cattle_2009-10-01,64420015_9_cattle_2009-10-01,64420044_0_cattle_2011-01-01,64420044_1_cattle_2011-01-01,64420044_2_cattle_2011-01-01,64420044_3_cattle_2011-01-01,64420044_4_cattle_2010-12-01,64420044_5_cattle_2010-10-01,64420044_6_cattle_2011-01-01,64420044_7_cattle_2011-01-01,64420044_8_cattle_2011-01-01,64420044_9_cattle_2011-01-01,64420047_0_cattle_2011-01-01,64420047_1_cattle_2011-02-01
0,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,0,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999000099990002e-5,7.999200079992001e-4,0,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,7.999200079992001e-4,0,6.999300069993001e-4,7.999200079992001e-4,0,0
0.01429857014298566,0,0.02699730026997287,0.013798620137986163,0.01279872012798717,0.01429857014298566,0.007899210078992107,0.01429857014298566,0.01429857014298566,0.01429857014298566,0.015398460153984552,0.013198680131986768,0.008499150084991502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008299170082991704,0.009899010098990092,0.010298970102989689,0.011898810118988077,0.007499250074992507,0.01429857014298566,0.01429857014298566,0.005399460053994604,0.005999400059994005,0.003999600039996002,0.0012998700129986998,9.999000099990002e-5
0.0035996400359964015,0.006599340065993406,0,0.0035996400359964015,0.0035996400359964015,0.0035996400359964015,0.0027997200279972004,0.0035996400359964015,0.0035996400359964015,0.0035996400359964015,0.0035996400359964015,0.0035996400359964015,0.0025997400259974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024997500249975,0.003399660033996601,0.0027997200279972004,0.0023997600239976,0.0026997300269973002,0.0035996400359964015,0.0035996400359964015,2.9997000299970003e-4,0.0010998900109989,7.999200079992001e-4,5.999400059994001e-4,0
0.009599040095990394,0.009599040095990394,0.009599040095990394,0,0.08799120087991338,0.009599040095990394,0.005999400059994005,0.009599040095990394,0.009599040095990394,0.009599040095990394,0.009599040095990394,0.07879212078792233,0.003999600039996002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007599240075992407,0.007799220077992207,0.005499450054994504,0.008599140085991401,0.008299170082991704,0.009599040095990394,0.009599040095990394,5.999400059994001e-4,0.0019998000199979993,0.004099590040995902,5.999400059994001e-4,9.999000099990002e-5
0.006699330066993306,0.006699330066993306,0.006699330066993306,0.07269273072692826,0,0.006199380061993805,0.006099390060993905,0.006699330066993306,0.006699330066993306,0.006699330066993306,0.006699330066993306,0.06489351064893585,0.003299670032996701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034996500349965013,0.006099390060993905,0.0034996500349965013,0.006699330066993306,0.004899510048995103,0.006699330066993306,0.006699330066993306,0.0011998800119988,0.003199680031996801,0.003199680031996801,5.999400059994001e-4,0
2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,0.009299070092990696,3.9996000399960006e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,2.9997000299970003e-4,0,2.9997000299970003e-4,2.9997000299970003e-4,0,0
9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,7.999200079992001e-4,9.99900009999e-4,9.99900009999e-4,0,9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,0.44005599440057996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,9.99900009999e-4,6.999300069993001e-4,9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,9.99900009999e-4,0,6.999300069993001e-4,2.9997000299970003e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.011698830116988279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0023997600239976,0,0,0.0023997600239976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
