64420015_0_cattle_2010-02-01,64420015_10_cattle_2009-03-01,64420015_11_cattle_2010-02-01,64420015_12_cattle_2010-02-01,64420015_13_cattle_2010-02-01,64420015_14_cattle_2010-02-01,64420015_15_cattle_2010-02-01,64420015_16_cattle_2010-02-01,64420015_17_cattle_2010-04-01,64420015_18_cattle_2010-02-01,64420015_19_cattle_2010-02-01,64420015_1_cattle_2010-04-01,64420015_20_cattle_2010-04-01,64420015_21_cattle_2010-02-01,64420015_22_cattle_2010-02-01,64420015_23_cattle_2010-04-01,64420015_24_cattle_2010-02-01,64420015_25_cattle_2010-04-01,64420015_26_cattle_2010-04-01,64420015_27_cattle_2010-04-01,64420015_28_cattle_2010-04-01,64420015_29_cattle_2010-02-01,64420015_2_cattle_2010-02-01,64420015_30_cattle_2010-04-01,64420015_31_cattle_2010-02-01,64420015_32_cattle_2010-04-01,64420015_33_cattle_2010-02-01,64420015_34_cattle_2010-04-01,64420015_35_cattle_2010-04-01,64420015_36_cattle_2010-04-01,64420015_37_cattle_2010-04-01,64420015_38_cattle_2010-04-01,64420015_39_cattle_2010-02-01,64420015_3_cattle_2010-04-01,64420015_40_cattle_2010-04-01,64420015_41_cattle_2010-04-01,64420015_42_cattle_2010-04-01,64420015_43_cattle_2010-02-01,64420015_44_cattle_2010-02-01,64420015_45_cattle_2010-04-01,64420015_46_cattle_2010-04-01,64420015_4_cattle_2010-04-01,64420015_5_cattle_2010-02-01,64420015_6_cattle_2010-02-01,64420015_7_cattle_2010-04-01,64420015_8_cattle_2010-02-01,64420015_9_cattle_2010-02-01,64420044_0_cattle_2010-09-01,64420044_1_cattle_2010-09-01,64420044_2_cattle_2010-08-01,64420044_3_cattle_2010-09-01,64420044_4_cattle_2010-09-01,64420044_5_cattle_2010-09-01,64420044_6_cattle_2010-09-01
0,0.0017996400719856025,0.0017996400719856025,0.0017996400719856025,0.23495300939812552,0.001399720055988802,0,3.999200159968006e-4,3.999200159968006e-4,0.0017996400719856025,0.23495300939812552,0.0017996400719856025,0.0017996400719856025,0.23495300939812552,0.0017996400719856025,0.23335332933413827,0.0011997600479904018,0.0017996400719856025,0.0017996400719856025,0.23175364927015102,0.0015996800639872023,0.23535292941412234,0.0017996400719856025,0.0017996400719856025,0.0017996400719856025,0.0017996400719856025,0,7.998400319936012e-4,0.0017996400719856025,0.0011997600479904018,9.998000399920016e-4,0.0017996400719856025,0.23495300939812552,0.0017996400719856025,0.2309538092381574,5.998800239952009e-4,1.999600079984003e-4,0.0017996400719856025,0.0017996400719856025,0,0.0017996400719856025,0.001399720055988802,0.0017996400719856025,5.998800239952009e-4,0.0017996400719856025,5.998800239952009e-4,0.23495300939812552,0,0.0017996400719856025,0.0017996400719856025,0.0017996400719856025,0,0,0.0017996400719856025
0.12037592481503859,0,0.26474705058988607,0.5026994601079569,0.08438312337532541,0.2339532093581335,0.2793441311737677,0.26874625074985364,0.4149170165966685,0.26294741051790066,0.029794041191761572,0.44591081783641723,0.3389322135572846,0.07578484303139393,0.29114177164567207,0.0011997600479904018,0.26674665066986986,0.3521295740851776,0.48810237952407515,0.04399120175964794,0.23215356928614783,0.08518296340731904,0.29614077184563153,0.48350329934011244,0.26794641071786013,0.4745050989801854,0.28674265146970773,0.2503499300140028,0.1449710057988426,0.23975204959008728,0.25274945010998334,0.45970805838830536,0.009798040391921612,0.4765046990601692,0.03919216156768635,0.26294741051790066,0.23375324935013508,0.2681463707258585,0.5026994601079569,0.2671465706858666,0.3001399720055991,0.4179164167166442,0.268946210757852,0.237152569486108,0.2645470905818877,0.23775244951010321,0.013397320535892805,0.10177964407118678,0.42591481703657935,0.4037192561487593,0.4471105778844075,0.06458708258348317,0.23175364927015102,0.25254949010198496
0,0,0,0.001399720055988802,0,0,0.017396520695860798,0.001399720055988802,0.001399720055988802,0.0011997600479904018,0.0011997600479904018,0.001399720055988802,0.001399720055988802,0,0.38072385522894575,0,1.999600079984003e-4,0.001399720055988802,0,0,0.001399720055988802,0,0,3.999200159968006e-4,0.020195960807838392,9.998000399920016e-4,0.001399720055988802,7.998400319936012e-4,0.001399720055988802,0.001399720055988802,5.998800239952009e-4,0,1.999600079984003e-4,0.001399720055988802,0,0,0.001399720055988802,5.998800239952009e-4,0.001399720055988802,0.001399720055988802,0.001399720055988802,0.001399720055988802,1.999600079984003e-4,0.0011997600479904018,0,7.998400319936012e-4,0,0,0.001399720055988802,0.001399720055988802,0.001399720055988802,0,0.001399720055988802,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1517696460707884,0,3.999200159968006e-4,3.999200159968006e-4,0,3.999200159968006e-4,1.999600079984003e-4,0,3.999200159968006e-4,1.999600079984003e-4,0.15356928614277407,3.999200159968006e-4,0,0.1547690461907645,3.999200159968006e-4,0.15236952609478363,0,3.999200159968006e-4,3.999200159968006e-4,0.15156968606279,0,0.15356928614277407,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,3.999200159968006e-4,0.15356928614277407,3.999200159968006e-4,0.15096980603879478,3.999200159968006e-4,0,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4,0,0.15356928614277407,0,3.999200159968006e-4,1.999600079984003e-4,0,1.999600079984003e-4,3.999200159968006e-4,0
0,0,0,0,0,0,0,0.48070385922813513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.023995200959807984,1.999600079984003e-4,0,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0.023595280943811185,0,1.999600079984003e-4,1.999600079984003e-4,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0.47310537892419674,0,1.999600079984003e-4,0,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,0,1.999600079984003e-4,0,0,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,1.999600079984003e-4,0,1.999600079984003e-4
0,0,0,0,0,0.5192961407718223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004399120175964808,0.007998400319936016,0.022995400919815986,0.03399320135972796,0.0035992801439712063,0.0157968406318736,0.019796040791841593,0.018196360727854397,0,0.022195560887822388,0.0011997600479904018,0.08638272345530948,0.022195560887822388,0.006598680263947213,0.02139572085582879,3.999200159968006e-4,0.02159568086382719,0.024595080983803183,0.03039392121575677,0.0031993601279744054,0.013397320535892805,0.009798040391921612,0.019996000799839993,0.03079384123175357,0.0167966406718656,0.024595080983803183,0.019396120775844794,0.011997600479904008,0.009598080383923213,0.0171965606878624,0.02199560087982399,0.03139372125574877,0.0015996800639872023,0.02559488102379518,0.0027994401119776045,0.0167966406718656,0.017996400719855997,0.02139572085582879,0.03399320135972796,0.023595280943811185,0.02119576084783039,0.17756448710258285,0.011597680463907209,0.012397520495900807,0.012597480503899207,0.012597480503899207,3.999200159968006e-4,0.003999200159968007,0.007798440311937616,0.013997200559888004,0.0157968406318736,0.002599480103979204,0.013397320535892805,0.007398520295940815
0,0,1.999600079984003e-4,0.001399720055988802,1.999600079984003e-4,5.998800239952009e-4,0,7.998400319936012e-4,1.999600079984003e-4,0,0,9.998000399920016e-4,0.0011997600479904018,0,9.998000399920016e-4,0,0.001399720055988802,1.999600079984003e-4,0.001399720055988802,0,0.0011997600479904018,0.0011997600479904018,0.007398520295940815,0.001399720055988802,5.998800239952009e-4,0.001399720055988802,0.009598080383923213,0.001399720055988802,0,0.001399720055988802,0,1.999600079984003e-4,0,0.001399720055988802,0,0,1.999600079984003e-4,0,0.001399720055988802,0.001399720055988802,0,5.998800239952009e-4,0.4829034193161173,0,0,0.001399720055988802,0,0.0011997600479904018,0.001399720055988802,0.0011997600479904018,0.001399720055988802,1.999600079984003e-4,0,1.999600079984003e-4
