64281001_0_cattle_2013-03-01,64281001_10_cattle_2013-03-01,64281001_11_cattle_2013-05-01,64281001_12_cattle_2013-05-01,64281001_13_cattle_2013-05-01,64281001_14_cattle_2013-03-01,64281001_15_cattle_2013-05-01,64281001_16_cattle_2013-05-01,64281001_17_cattle_2013-03-01,64281001_18_cattle_2013-03-01,64281001_19_cattle_2013-03-01,64281001_1_cattle_2013-05-01,64281001_20_cattle_2013-05-01,64281001_2_cattle_2013-03-01,64281001_3_cattle_2013-03-01,64281001_4_cattle_2013-03-01,64281001_5_cattle_2013-03-01,64281001_6_cattle_2013-03-01,64281001_7_cattle_2013-05-01,64281001_8_cattle_2013-05-01,64281001_9_cattle_2013-03-01,64420002_0_cattle_2013-02-01,64420012_0_cattle_2012-09-01,64420012_10_cattle_2012-09-01,64420012_11_cattle_2012-09-01,64420012_12_cattle_2012-09-01,64420012_13_cattle_2014-02-01,64420012_14_cattle_2013-12-01,64420012_15_cattle_2013-12-01,64420012_16_cattle_2014-02-01,64420012_1_cattle_2012-09-01,64420012_2_cattle_2012-09-01,64420012_3_cattle_2012-09-01,64420012_4_cattle_2012-01-01,64420012_5_cattle_2012-09-01,64420012_6_cattle_2012-09-01,64420012_7_cattle_2012-08-01,64420012_8_cattle_2012-09-01,64420012_9_cattle_2012-09-01,64420015_0_cattle_2008-12-01,64420015_10_cattle_2009-01-01,64420015_1_cattle_2009-01-01,64420015_2_cattle_2009-01-01,64420015_3_cattle_2009-01-01,64420015_4_cattle_2009-01-01,64420015_5_cattle_2009-01-01,64420015_6_cattle_2009-01-01,64420015_7_cattle_2009-01-01,64420015_8_cattle_2009-01-01,64420015_9_cattle_2009-01-01,64420035_0_cattle_2013-02-01,64420035_1_cattle_2013-04-01,64420035_2_cattle_2013-02-01,64420035_3_cattle_2013-02-01,64420038_0_cattle_2012-01-01,64420038_10_cattle_2012-01-01,64420038_11_cattle_2011-12-01,64420038_12_cattle_2012-01-01,64420038_13_cattle_2012-01-01,64420038_14_cattle_2012-01-01,64420038_15_cattle_2012-01-01,64420038_16_cattle_2012-01-01,64420038_17_cattle_2012-01-01,64420038_18_cattle_2012-01-01,64420038_19_cattle_2012-01-01,64420038_1_cattle_2012-01-01,64420038_20_cattle_2012-01-01,64420038_21_cattle_2012-01-01,64420038_22_cattle_2012-01-01,64420038_23_cattle_2012-01-01,64420038_24_cattle_2012-01-01,64420038_25_cattle_2012-01-01,64420038_26_cattle_2012-01-01,64420038_27_cattle_2012-01-01,64420038_2_cattle_2012-01-01,64420038_3_cattle_2012-01-01,64420038_4_cattle_2011-07-01,64420038_5_cattle_2012-01-01,64420038_6_cattle_2012-01-01,64420038_7_cattle_2012-01-01,64420038_8_cattle_2012-01-01,64420038_9_cattle_2011-12-01,64420039_0_cattle_2013-01-01,64420039_10_cattle_2013-01-01,64420039_11_cattle_2013-01-01,64420039_12_cattle_2013-01-01,64420039_13_cattle_2013-03-01,64420039_1_cattle_2013-01-01,64420039_2_cattle_2013-01-01,64420039_3_cattle_2013-01-01,64420039_4_cattle_2013-01-01,64420039_5_cattle_2013-01-01,64420039_6_cattle_2013-01-01,64420039_7_cattle_2013-01-01,64420039_8_cattle_2013-01-01,64420039_9_cattle_2013-01-01,64420044_0_cattle_2011-02-01,64420047_0_cattle_2012-02-01,64420047_10_cattle_2011-03-01,64420047_11_cattle_2012-02-01,64420047_12_cattle_2012-01-01,64420047_13_cattle_2011-08-01,64420047_14_cattle_2011-07-01,64420047_15_cattle_2012-02-01,64420047_16_cattle_2011-09-01,64420047_17_cattle_2011-09-01,64420047_18_cattle_2012-02-01,64420047_19_cattle_2012-01-01,64420047_1_cattle_2010-06-01,64420047_20_cattle_2012-02-01,64420047_21_cattle_2012-02-01,64420047_22_cattle_2012-02-01,64420047_23_cattle_2012-02-01,64420047_24_cattle_2012-02-01,64420047_25_cattle_2012-02-01,64420047_26_cattle_2012-02-01,64420047_27_cattle_2012-02-01,64420047_28_cattle_2012-02-01,64420047_29_cattle_2012-02-01,64420047_2_cattle_2010-08-01,64420047_30_cattle_2012-02-01,64420047_31_cattle_2012-02-01,64420047_32_cattle_2012-02-01,64420047_33_cattle_2012-01-01,64420047_34_cattle_2012-02-01,64420047_35_cattle_2012-02-01,64420047_36_cattle_2012-02-01,64420047_37_cattle_2012-02-01,64420047_38_cattle_2012-02-01,64420047_39_cattle_2012-02-01,64420047_3_cattle_2012-02-01,64420047_40_cattle_2012-02-01,64420047_41_cattle_2012-02-01,64420047_42_cattle_2012-02-01,64420047_43_cattle_2013-04-01,64420047_44_cattle_2013-02-01,64420047_45_cattle_2012-12-01,64420047_46_cattle_2013-02-01,64420047_47_cattle_2013-02-01,64420047_48_cattle_2013-02-01,64420047_49_cattle_2013-04-01,64420047_4_cattle_2010-12-01,64420047_50_cattle_2013-02-01,64420047_51_cattle_2013-04-01,64420047_52_cattle_2013-04-01,64420047_5_cattle_2012-02-01,64420047_6_cattle_2012-02-01,64420047_7_cattle_2012-02-01,64420047_8_cattle_2011-08-01,64420047_9_cattle_2012-02-01
0,0,0,0,0.7247275272473426,0,0,0,0,0,0.7247275272473426,0,0,0,0,0,0,0,0,0.7247275272473426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7196280371963468,0,0,0.7196280371963468,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.24297570242974625,0.2580741925807317,0,0,0,0,0,0.2397760223977498,0.23297670232975737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27517248275171746,0.0957904209579058,0,2.9997000299970003e-4,0.01159884011598838,0.21767823217677437,0.2893710628937056,0.3885611438856229,0.030196980301969645,0.09079092090791066,0.0921907809219093,0.39296070392961924,0.008299170082991704,0.13958604139586117,0.17488251174882194,0.07989201079892126,0.09469053094690687,0.23407659234075615,0.0072992700729927066,0.005499450054994504,0.32446755324467635,0.388461153884623,0.3885611438856229,0.2209779022097707,0,0.20007999200079393,0,0,0,0,0,0.17548245175482127,0,0,0,0,0.2327767223277576,0.16698330166983072,0.19788021197879638,0,0,0,0,0,0,0,0,0,0,0,0.1654834516548324,0.3885611438856229,0.3885611438856229,0.3885611438856229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3885611438856229,0,0.3885611438856229,0.14858514148585117,0.12998700129987184,0.1770822917708195,0.32456754324567627,0.3885611438856229,0.3885611438856229,0.3885611438856229,0.25277472252773614,0.35276472352765276,0.388461153884623,0.3885611438856229,0.388461153884623,0.36486351364864267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3885611438856229,0,0,0,0,0,0,0,0,0,0,0,0.0037996200379962018,0.3885611438856229,0.3885611438856229,0.22297770222976848,0.1356864313568655,3.9996000399960006e-4,0.3885611438856229,0,0.0036996300369963016,0.008399160083991603,0.003199680031996801,0,0,0,0,0
0,0,0,0,0,0.0020997900209978994,0,0,0,0,0,0,0.0020997900209978994,0.0020997900209978994,0,0,0,0,0.0020997900209978994,0,0,0,0,0,0,0,0.0020997900209978994,0.0020997900209978994,0.0020997900209978994,0.0020997900209978994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020997900209978994,0,0,0,0,0,0,0,0,0.0020997900209978994,0.0020997900209978994,0,0,0,0,0
0.029897010298969948,0,0,0,0,0,0,0,0,0,0.029897010298969948,0,0,0,0,0,0,0,0,0.029897010298969948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029897010298969948,0,0,0.029897010298969948,0,0,0,0,0,0,0
0,0,0,0.5187481251875143,0,0,0,0,0,0,0,0,0.5187481251875143,0.5187481251875143,0,0,0,0,0.5187481251875143,0,0,0,0,0,0,0,0.5187481251875143,0.5187481251875143,0.5187481251875143,0.5187481251875143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5187481251875143,0,0,0,0,0,0,0,0,0.5187481251875143,0.5187481251875143,0,0,0,0,0
0.005699430056994304,0.0037996200379962018,0.011098890110988883,0,0,0.003999600039996002,0,0.011098890110988883,4.999500049995e-4,0.0029997000299970007,0.005399460053994604,0.011098890110988883,0,0.006999300069993006,0.005999400059994005,0.0010998900109989,0.0026997300269973002,0.004999500049995003,0,0,0.043995600439956185,0.011098890110988883,0.011098890110988883,0.004899510048995103,0,0.006899310068993106,0,0,0,0,0,0.004199580041995802,0,0,0,0,0.009899010098990092,0.0018998100189980994,0.006199380061993805,0,0,0,0,0,0,0,0,0,0,0,0.006199380061993805,0.011098890110988883,0.011098890110988883,0.011098890110988883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011098890110988883,0,0.011098890110988883,0.0042995700429957024,0.0028997100289971005,0.003899610038996102,0.04699530046995327,0.011098890110988883,0.011098890110988883,0.011098890110988883,0.009699030096990293,0.009499050094990495,0.011098890110988883,0.011098890110988883,0.011098890110988883,0.011098890110988883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011098890110988883,0,0,0,0,0,0,0,0,0,0,0,0,0.011098890110988883,0.011098890110988883,0.004899510048995103,0.0013998600139985998,0,0.011098890110988883,0,0,9.999000099990002e-5,0,0,0,0,0,0
0.030596940305969243,0.011298870112988682,0.044395560443955796,0,4.999500049995e-4,0.023697630236976193,0.03149685031496834,0,0.004499550044995503,0.007599240075992407,0.01289871012898707,0.045495450454954726,0.003199680031996801,0.01859814018598133,0.027197280271972667,0.010298970102989689,0.01299870012998697,0.020897910208979013,2.9997000299970003e-4,0.0027997200279972004,0.037796220377962216,0.04679532046795346,0.04679532046795346,0.02829717028297156,0,0.02149785021497841,0,0,0,0,0,0.018098190180981834,0,0,0,0,0.028697130286971156,0.024397560243975488,0.013598640135986365,0,0,0,0,0,0,0,0,0,0,0,0.02389761023897599,0.04679532046795346,0.04669533046695356,0.04679532046795346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04679532046795346,0,0.04679532046795346,0.023597640235976294,0.01859814018598133,0.020997900209978913,0.036696330366963285,0.04679532046795346,0.04679532046795346,0.04679532046795346,0.031596840315968246,0.04679532046795346,0.04679532046795346,0.04679532046795346,0.04679532046795346,0.04589541045895434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04679532046795346,0,0,0,0,0,0,0,0,0,0,0,0,0.04679532046795346,0.04679532046795346,0.022897710228977,0.015198480151984753,0,0.04679532046795346,0,0,4.999500049995e-4,4.999500049995e-4,0,0,0,0,0
0,0.062193780621938484,0,0,0,0,0,0,0,0.060393960603940235,0,0,0,0,0,0.06519348065193556,0.06469353064693605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24027597240274925,0,0,0,0,0,0,0.2300769923007606,0,0,0,0,0,0,0.22757724227576337,0.2245775422457667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
