40054015_0_cattle_2013-03-01,40054015_10_cattle_2013-03-01,40054015_11_cattle_2013-02-01,40054015_12_cattle_2013-03-01,40054015_13_cattle_2013-03-01,40054015_14_cattle_2013-03-01,40054015_15_cattle_2013-03-01,40054015_16_cattle_2013-03-01,40054015_17_cattle_2013-03-01,40054015_18_cattle_2013-03-01,40054015_19_cattle_2013-03-01,40054015_1_cattle_2013-03-01,40054015_20_cattle_2013-03-01,40054015_21_cattle_2013-03-01,40054015_22_cattle_2013-03-01,40054015_23_cattle_2013-03-01,40054015_24_cattle_2013-03-01,40054015_25_cattle_2013-03-01,40054015_2_cattle_2013-03-01,40054015_3_cattle_2013-02-01,40054015_4_cattle_2013-03-01,40054015_5_cattle_2013-03-01,40054015_6_cattle_2013-03-01,40054015_7_cattle_2013-03-01,40054015_8_cattle_2013-03-01,40054015_9_cattle_2013-03-01,40270058_0_cattle_2011-07-01,40270058_1_cattle_2011-06-01,64420015_0_cattle_2008-04-01,64420015_10_cattle_2009-05-01,64420015_11_cattle_2011-02-01,64420015_12_cattle_2011-02-01,64420015_13_cattle_2011-02-01,64420015_14_cattle_2011-02-01,64420015_15_cattle_2011-02-01,64420015_16_cattle_2011-02-01,64420015_17_cattle_2011-02-01,64420015_18_cattle_2011-02-01,64420015_19_cattle_2011-02-01,64420015_1_cattle_2008-04-01,64420015_20_cattle_2011-02-01,64420015_21_cattle_2010-09-01,64420015_22_cattle_2011-02-01,64420015_23_cattle_2011-02-01,64420015_24_cattle_2011-02-01,64420015_25_cattle_2011-02-01,64420015_26_cattle_2011-02-01,64420015_27_cattle_2011-02-01,64420015_28_cattle_2010-03-01,64420015_29_cattle_2011-02-01,64420015_2_cattle_2011-02-01,64420015_30_cattle_2011-02-01,64420015_31_cattle_2011-02-01,64420015_32_cattle_2011-02-01,64420015_33_cattle_2011-02-01,64420015_34_cattle_2011-02-01,64420015_35_cattle_2011-02-01,64420015_36_cattle_2011-02-01,64420015_37_cattle_2011-02-01,64420015_38_cattle_2011-02-01,64420015_39_cattle_2011-02-01,64420015_3_cattle_2011-02-01,64420015_40_cattle_2011-02-01,64420015_41_cattle_2011-02-01,64420015_42_cattle_2011-02-01,64420015_43_cattle_2011-02-01,64420015_44_cattle_2011-02-01,64420015_45_cattle_2011-02-01,64420015_46_cattle_2011-02-01,64420015_47_cattle_2011-02-01,64420015_48_cattle_2011-02-01,64420015_49_cattle_2011-02-01,64420015_4_cattle_2011-02-01,64420015_50_cattle_2011-02-01,64420015_51_cattle_2011-02-01,64420015_52_cattle_2011-02-01,64420015_53_cattle_2011-02-01,64420015_54_cattle_2011-02-01,64420015_55_cattle_2011-02-01,64420015_56_cattle_2011-02-01,64420015_57_cattle_2011-02-01,64420015_58_cattle_2011-02-01,64420015_59_cattle_2011-02-01,64420015_5_cattle_2011-02-01,64420015_60_cattle_2011-02-01,64420015_61_cattle_2011-02-01,64420015_62_cattle_2011-02-01,64420015_63_cattle_2011-02-01,64420015_64_cattle_2011-02-01,64420015_65_cattle_2011-02-01,64420015_66_cattle_2011-02-01,64420015_67_cattle_2011-02-01,64420015_68_cattle_2011-02-01,64420015_69_cattle_2011-02-01,64420015_6_cattle_2011-01-01,64420015_70_cattle_2011-02-01,64420015_71_cattle_2011-02-01,64420015_72_cattle_2011-02-01,64420015_73_cattle_2011-02-01,64420015_74_cattle_2011-02-01,64420015_75_cattle_2011-02-01,64420015_76_cattle_2011-02-01,64420015_77_cattle_2011-02-01,64420015_78_cattle_2011-02-01,64420015_79_cattle_2013-02-01,64420015_7_cattle_2011-02-01,64420015_8_cattle_2011-02-01,64420015_9_cattle_2011-02-01,64420044_0_cattle_2013-03-01,64420044_10_cattle_2013-03-01,64420044_11_cattle_2013-03-01,64420044_12_cattle_2013-03-01,64420044_13_cattle_2013-03-01,64420044_14_cattle_2013-03-01,64420044_1_cattle_2013-03-01,64420044_2_cattle_2013-03-01,64420044_3_cattle_2013-02-01,64420044_4_cattle_2013-03-01,64420044_5_cattle_2013-03-01,64420044_6_cattle_2013-03-01,64420044_7_cattle_2013-03-01,64420044_8_cattle_2013-03-01,64420044_9_cattle_2013-03-01,64420047_0_cattle_2012-05-01,64420047_1_cattle_2012-01-01,64420047_2_cattle_2012-08-01,64420047_3_cattle_2012-08-01,64420047_4_cattle_2012-07-01,64420047_5_cattle_2012-08-01
0,0.014997000599880001,0.0017996400719856025,0.029794041191761572,0.0161967606478704,0.01099780043991201,0.44491101779642533,0.0019996000799840027,0.005998800239952012,0.013797240551889604,0.006598680263947213,0.015196960607878401,0.002199560087982403,0.017996400719855997,0.02099580083983199,0.004199160167966408,0.006198760247950412,0.002599480103979204,0.003399320135972806,0.023195360927814386,0.015996800639872,0.013397320535892805,0.0155968806238752,0.007198560287942414,0.0045990801839632086,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012597480503899207,0,0,0.017796440711857597,0.0067986402719456135,0.07398520295940827,0.018196360727854397,0.0011997600479904018,0.003999200159968007,0.01119776044791041,0.008198360327934416,0.012797440511897606,0.0015996800639872023,0.09578084383123459,0.08038392321535728,0.0023995200959808036,0.05818836232753431,0.0011997600479904018,0,0.013997200559888004,0.4143171365726734,0.013397320535892805,0.006598680263947213,0.0045990801839632086,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0779844031193764,0,0,0,0,0.08538292341531745,0,0,0.08658268346330789,0,0,0,0,0,0,0,0,0.08658268346330789,0.08178364327134613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06298740251949592,0.03099380123975197,0.007998400319936016,0,0.08578284343131426,0.022795440911817587,0.056388722255548716,0.019396120775844794,0.05358928214357112,0.06638672265546883,0.05558888222355512,0.047790441911617534,0.02139572085582879,0.03679264147170556,0.07438512297540509,0.03059388122375517,0.03999200159967995,0.0171965606878624,0.022795440911817587,0.11017796440711985,0.024795040991801583,0.056988602279543915,0.04959008198360313,0.04939012197560473,0.008798240351929614,0.017796440711857597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01059788042391521,0.006998600279944014,0.0035992801439712063,0.03119376124775037,0,0.00519896020795841,0.013597280543891204,0.004399120175964808,0.009598080383923213,0.4661067786442535,0.013997200559888004,0.017796440711857597,0.002999400119976005,0.011397720455908809,0.017796440711857597,0.002599480103979204,0.006398720255948813,0.0037992401519696068,0.004399120175964808,0.019996000799839993,0.006398720255948813,0.01099780043991201,0.009198160367926414,0.007598480303939215,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0153969206158768,0.07138572285542899,5.998800239952009e-4,0.002999400119976005,0.002199560087982403,0,0.012197560487902407,0,1.999600079984003e-4,5.998800239952009e-4,0.0017996400719856025,0.002599480103979204,0,0.19316136772645856,0.0807838432313541,1.999600079984003e-4,0.37032593481303006,1.999600079984003e-4,7.998400319936012e-4,0.0017996400719856025,0.07838432313537322,0.0031993601279744054,7.998400319936012e-4,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4535092981403556,0.008598280343931215,1.999600079984003e-4,0.03239352129574077,0.023995200959807984,0.013197360527894405,0,0.007598480303939215,0.0067986402719456135,0.009198160367926414,0.015996800639872,0.009798040391921612,0.004399120175964808,0.014797040591881602,0.027994401119775976,0.003399320135972806,0.009198160367926414,0.006198760247950412,0.0049990001999600095,0.023795240951809585,0.015196960607878401,0.0167966406718656,0.014197160567886403,0.008998200359928014,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.25174965006999145,0,0,0,0,0,0,0,0,0,0.24755048990202513,0,0,0.25174965006999145,0,0,0,0,0,0,0,0,0.25174965006999145,0.2749450109978034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01079784043191361,0.008598280343931215,0,0.03679264147170556,0.019196160767846394,0.006598680263947213,0.017796440711857597,0.006398720255948813,0,0.0171965606878624,0.20175964807039004,0.014197160567886403,0.005998800239952012,0.0037992401519696068,0.008198360327934416,0.005998800239952012,0.002999400119976005,0.0045990801839632086,0.00539892021595681,0.02579484103179358,0.00539892021595681,0.015996800639872,0.2039592081583725,0.008998200359928014,0.0015996800639872023,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007598480303939215,0.0031993601279744054,0.0017996400719856025,0.029394121175764773,0.4431113777244399,0.007398520295940815,0.014397120575884803,0.004399120175964808,0.007998400319936016,0,0.009998000399920012,0.011997600479904008,9.998000399920016e-4,0.008198360327934416,0.015196960607878401,3.999200159968006e-4,0.007398520295940815,0.0031993601279744054,0.0019996000799840027,0.02559488102379518,0.0035992801439712063,0.012597480503899207,0.012197560487902407,0.006198760247950412,5.998800239952009e-4,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
