40089001_0_cattle_2014-06-01,40089001_10_cattle_2014-06-01,40089001_11_cattle_2014-06-01,40089001_12_cattle_2014-06-01,40089001_13_cattle_2014-06-01,40089001_14_cattle_2014-05-01,40089001_15_cattle_2014-06-01,40089001_16_cattle_2014-06-01,40089001_17_cattle_2014-06-01,40089001_18_cattle_2014-06-01,40089001_19_cattle_2014-06-01,40089001_1_cattle_2012-11-01,40089001_20_cattle_2014-06-01,40089001_21_cattle_2014-06-01,40089001_22_cattle_2014-06-01,40089001_23_cattle_2013-10-01,40089001_24_cattle_2014-06-01,40089001_25_cattle_2014-06-01,40089001_26_cattle_2014-06-01,40089001_27_cattle_2014-05-01,40089001_28_cattle_2014-06-01,40089001_29_cattle_2014-06-01,40089001_2_cattle_2014-06-01,40089001_30_cattle_2014-06-01,40089001_31_cattle_2014-06-01,40089001_32_cattle_2014-06-01,40089001_33_cattle_2014-06-01,40089001_34_cattle_2014-06-01,40089001_35_cattle_2014-06-01,40089001_36_cattle_2014-06-01,40089001_37_cattle_2014-06-01,40089001_38_cattle_2014-06-01,40089001_3_cattle_2014-06-01,40089001_4_cattle_2014-06-01,40089001_5_cattle_2014-06-01,40089001_6_cattle_2014-06-01,40089001_7_cattle_2014-06-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-06-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2009-04-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-04-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-04-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-04-01,64420015_1_cattle_2009-01-01,64420015_2_cattle_2008-10-01,64420015_3_cattle_2008-05-01,64420015_4_cattle_2009-04-01,64420015_5_cattle_2008-05-01,64420015_6_cattle_2009-04-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-04-01,64420015_9_cattle_2009-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5258948210357688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0161967606478704,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,3.999200159968006e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.4161167766446588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2529494101179817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0.033193361327734365,0,0,0,0,0,0,0,5.998800239952009e-4,0,1.999600079984003e-4,0,0,7.998400319936012e-4,0,3.999200159968006e-4,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0.0015996800639872023,0,0,0,0,0,0,0,0.03199360127974397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,0.00519896020795841,1.999600079984003e-4,0,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0.028594281143771175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17216556688662588,0.25914817036593146,0,0,0,0,0,0.1517696460707884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0.006998600279944014,0,1.999600079984003e-4,0,0,0,7.998400319936012e-4,7.998400319936012e-4,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,0,0.0037992401519696068,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,5.998800239952009e-4,0,5.998800239952009e-4,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
