27_d500_26_0_badger_2017-06-01,27_d500_26_1_badger_2017-06-01,27_d500_26_2_badger_2015-07-01,27_d500_26_3_badger_2017-07-01,27_d500_26_4_badger_2017-05-01,40270058_0_cattle_2014-03-01,40270058_10_cattle_2016-05-01,40270058_11_cattle_2016-05-01,40270058_12_cattle_2016-04-01,40270058_13_cattle_2016-05-01,40270058_14_cattle_2016-05-01,40270058_1_cattle_2016-03-01,40270058_2_cattle_2016-03-01,40270058_3_cattle_2015-01-01,40270058_4_cattle_2015-12-01,40270058_5_cattle_2016-03-01,40270058_6_cattle_2016-01-01,40270058_7_cattle_2016-03-01,40270058_8_cattle_2016-03-01,40270058_9_cattle_2016-03-01,40270_0_boar_2015-01-01,40270_10_boar_2018-01-01,40270_11_boar_2015-11-01,40270_12_boar_2017-01-01,40270_13_boar_2016-09-01,40270_14_boar_2017-04-01,40270_15_boar_2016-12-01,40270_17_boar_2016-10-01,40270_1_boar_2014-10-01,40270_2_boar_2014-02-01,40270_3_boar_2015-08-01,40270_4_boar_2015-09-01,40270_5_boar_2014-09-01,40270_6_boar_2014-12-01,40270_7_boar_2015-03-01,40270_8_boar_2016-11-01,40270_9_boar_2015-11-01,45_d500_152_0_badger_2014-06-01,45_d500_152_1_badger_2011-04-01,45_d500_156_0_badger_2013-08-01,45_d500_156_1_badger_2010-05-01,45_d500_157_852_0_badger_2013-06-01,45_d500_157_858_1_badger_2013-09-01,45_d500_157_858_3_badger_2012-03-01,45_d500_160_1_badger_2014-05-01,45_d500_163_0_badger_2014-04-01,45_d500_170_0_badger_2012-09-01,45_d500_170_1_badger_2019-10-01,45_d500_170_2_badger_2011-11-01,45_d500_178_0_badger_2010-07-01,45_d500_178_1_badger_2019-07-01,45_d500_178_2_badger_2018-06-01,45_d500_182_0_badger_2013-09-01,45_d500_42_560_0_badger_2012-10-01,45_d500_42_560_1_badger_2014-09-01,45_d500_49_0_badger_2012-11-01,45_d500_50_612_0_badger_2011-10-01,45_d500_50_612_1_badger_2017-06-01,45_d500_50_612_2_badger_2016-03-01,45_d500_50_612_3_badger_2011-12-01,45_d500_59_0_badger_2013-07-01,45_d500_59_1_badger_2016-08-01,45_d500_59_2_badger_2013-03-01,45_d500_59_3_badger_2017-06-01,45_d500_59_4_badger_2017-06-01,45_d500_59_5_badger_2019-07-01,45_d500_61_0_badger_2014-07-01,45_d500_62_0_badger_2011-08-01,45_d500_62_1_badger_2011-08-01,45_d500_62_2_badger_2013-06-01,45_d500_62_3_badger_2013-08-01,45_d500_63_0_badger_2017-05-01,45_d500_82_0_badger_2018-08-01,45_d500_96_688_0_badger_2017-06-01,64201002_0_cattle_2016-12-01,64201021_0_cattle_2020-02-01,64310006_0_cattle_2015-02-01,64326020_0_cattle_2013-05-01,64326020_1_cattle_2013-01-01,64326020_2_cattle_2013-05-01,64326020_3_cattle_2013-05-01,64326020_4_cattle_2013-01-01,64326020_5_cattle_2013-07-01,64326020_6_cattle_2013-05-01,64359024_0_cattle_2012-11-01,64359138_0_cattle_2017-03-01,64359138_1_cattle_2017-03-01,64359138_2_cattle_2017-07-01,64359142_0_cattle_2013-02-01,64359158_0_cattle_2012-10-01,64359204_0_cattle_2017-12-01,64359_0_boar_2013-02-01,64359_10_boar_2018-01-01,64359_11_boar_2019-06-01,64359_12_boar_2019-04-01,64359_13_boar_2018-05-01,64359_1_boar_2013-08-01,64359_2_boar_2013-07-01,64359_3_boar_2013-04-01,64359_4_boar_2015-07-01,64359_5_boar_2016-10-01,64359_6_boar_2017-03-01,64359_7_boar_2018-01-01,64359_8_boar_2020-02-01,64359_9_boar_2019-01-01,64393387_0_cattle_2013-03-01,64420009_0_cattle_2014-01-01,64420012_0_cattle_2013-12-01,64420012_1_cattle_2013-12-01,64420012_2_cattle_2013-12-01,64420015_0_cattle_2007-12-01,64420015_1_cattle_2008-01-01,64420015_2_cattle_2008-01-01,64420015_3_cattle_2008-01-01,64420015_4_cattle_2008-01-01,64420015_5_cattle_2008-01-01,64420015_6_cattle_2008-01-01,64420015_7_cattle_2008-01-01,64420035_0_cattle_2015-12-01,64420035_1_cattle_2015-10-01,64420035_2_cattle_2016-02-01,64420035_3_cattle_2016-02-01,64420039_0_cattle_2008-09-01,64420039_1_cattle_2015-01-01,64420044_0_cattle_2012-10-01,64420044_1_cattle_2012-11-01,64420047_0_cattle_2014-03-01,64420047_10_cattle_2014-05-01,64420047_11_cattle_2014-05-01,64420047_12_cattle_2014-03-01,64420047_13_cattle_2014-03-01,64420047_14_cattle_2014-05-01,64420047_15_cattle_2014-05-01,64420047_16_cattle_2014-05-01,64420047_1_cattle_2013-12-01,64420047_2_cattle_2014-03-01,64420047_3_cattle_2014-05-01,64420047_4_cattle_2014-03-01,64420047_5_cattle_2014-03-01,64420047_6_cattle_2014-03-01,64420047_7_cattle_2014-05-01,64420047_8_cattle_2014-03-01,64420047_9_cattle_2014-03-01
0,0.03539292141571676,0,0.2709458108378358,0.04939012197560473,0,0.0017996400719856025,9.998000399920016e-4,0.012597480503899207,0.006198760247950412,0.0031993601279744054,0,0.04099180163967195,0,5.998800239952009e-4,0,0,0,0,0,0,0.0067986402719456135,5.998800239952009e-4,0.03599280143971196,0.0011997600479904018,0.0035992801439712063,1.999600079984003e-4,0.001399720055988802,0,0,0,0.001399720055988802,0,0,0,0.037392521495700756,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0.028994201159767974,0,0,0.004799040191961609,0.018996200759847995,0,0,0,0,0,0,0,0,0,0.04939012197560473,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06018796240751831,0,0,0.02639472105578878,0.08938212357528558,0,0.002999400119976005,0.008398320335932815,0.01099780043991201,0.00539892021595681,0.006198760247950412,0,0.024995000999799982,0,0.001399720055988802,0,0,0,0,0,0,0.03139372125574877,0.001399720055988802,0.09078184363127442,0.004199160167966408,0.04079184163167355,0,5.998800239952009e-4,0,0,0,0.002999400119976005,0,0,0,0.14737052589482347,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0.038592281543691154,0,0,0,0,0,0.002999400119976005,1.999600079984003e-4,0,0,0.03099380123975197,0,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0.003999200159968007,0.003399320135972806,1.999600079984003e-4,0.01079784043191361,0.005598880223955211,0.0017996400719856025,0.02159568086382719,0.009798040391921612,0.0157968406318736,0.023995200959807984,0.0153969206158768,0.019996000799839993,0.002199560087982403,0,0.022995400919815986,0,0,0,0,0,0.03059388122375517,0,0.07138572285542899,0.02159568086382719,0.0031993601279744054,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,0.026994601079783978,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.010197960407918412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42031593681262475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15096980603879478,0.011797640471905608,0,0,0.0153969206158768,0,0,0,3.999200159968006e-4,0,5.998800239952009e-4,0,0.002999400119976005,0,0,0,0,0,0,0,0,0.002999400119976005,0,0.014197160567886403,7.998400319936012e-4,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0.01119776044791041,0,0,0,0,0,0,0,0,0,0,0,0.10977804439112304,0,0,0.02199560087982399,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03039392121575677,0.04519096180763834,0,0.018996200759847995,0,0,0.0023995200959808036,0.001399720055988802,0.0045990801839632086,5.998800239952009e-4,0,0,0.0167966406718656,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0.032793441311737566,0,0.008398320335932815,0,0.0023995200959808036,0,0,0,3.999200159968006e-4,0,0,0,0.037592481503699156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41451709658067176,0,0,0,0,0,0,0,0,0,0.016996600679864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001399720055988802,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.008598280343931215,7.998400319936012e-4,0,0.0017996400719856025,0,0,0,0.01079784043191361,0,1.999600079984003e-4,0,0,0,0,0,0.03559288142371516,0.24795040991802195,0.003999200159968007,9.998000399920016e-4,0.022995400919815986,0.027994401119775976,0.00519896020795841,0,0.00519896020795841,0,0,0,0,0,0,0,0,0.28454309138172557,0,0,0,0,0,0,0,0,0.07638472305538915,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0.10277944411117881,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024995000999799982,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0031993601279744054,0.001399720055988802,0,0.0011997600479904018,0,0,0.009998000399920012,0.015196960607878401,0.22135572885423388,0.38152369526093927,0,0.017796440711857597,0,0.003399320135972806,0,9.998000399920016e-4,0,0,0,0,0,0.003399320135972806,0,0.0031993601279744054,0,0,0.003399320135972806,1.999600079984003e-4,0,0.001399720055988802,0.012997400519896006,0,0,0,0.004799040191961609,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,5.998800239952009e-4,0.0015996800639872023,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0045990801839632086,0.005798840231953611,0,9.998000399920016e-4,0.002599480103979204,0,0.009998000399920012,0,0.16416716656668962,0.018996200759847995,0.012197560487902407,0,0.028994201159767974,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.18776244751050158,0,0.0653869226154768,0.16476704659068483,0,0,0,0.014597080583883202,0,0,0,0.003999200159968007,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997600479904008,5.998800239952009e-4,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0.013797240551889604,0.001399720055988802,0.0045990801839632086,0.05398920215956792,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,0.04159168166366715,0.01099780043991201,0,0,0.002199560087982403,0,0.004799040191961609,0,0,9.998000399920016e-4,0,0,0,0,7.998400319936012e-4,0.0157968406318736,5.998800239952009e-4,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018396320735852796,0.010197960407918412,3.999200159968006e-4,0.004399120175964808,0.009398120375924813,0,0.038192361527694355,0.19516096780644263,0,0.04559088182363514,0.03239352129574077,0,0.09218156368726327,0,0.007798440311937616,0,0.005598880223955211,0,3.999200159968006e-4,0,0,0,0.005798840231953611,0.0031993601279744054,0.1177764447110593,3.999200159968006e-4,0.020195960807838392,0.08738252349530151,9.998000399920016e-4,0,5.998800239952009e-4,0.04559088182363514,0,0,0,0.009998000399920012,0.008798240351929614,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.0037992401519696068,0,0,0,0,0,0.009198160367926414,0.003999200159968007,0,0,0.026994601079783978,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.011597680463907209,0.0023995200959808036,0.008798240351929614,0.020395920815836792,0,0,0,0,0,0,0,0,0,0,0.02179564087182559,0.04059188162367515,0.005798840231953611,0,0,0.001399720055988802,0,0.0017996400719856025,0,1.999600079984003e-4,5.998800239952009e-4,0,0,0,0.0015996800639872023,0.004399120175964808,0.03179364127174557,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007398520295940815,0.004799040191961609,1.999600079984003e-4,0.0027994401119776045,0.003399320135972806,0,0.24735052989402673,0.03539292141571676,0.05078984203159353,0,0.24415116976605222,0,0.0745850829834035,0,0.0045990801839632086,1.999600079984003e-4,0.002999400119976005,0,0.0015996800639872023,0.0011997600479904018,0,1.999600079984003e-4,0.004199160167966408,0.00539892021595681,0.012797440511897606,0,0.0011997600479904018,0.008798240351929614,1.999600079984003e-4,0,0.001399720055988802,0.046990601879623936,0,0,0,0.00539892021595681,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0.001399720055988802,0.0035992801439712063,0,0,0.019396120775844794,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
