45_d500_124_0_badger_2013-08-01,45_d500_124_1_badger_2013-10-01,45_d500_124_2_badger_2014-08-01,45_d500_124_3_badger_2020-02-01,45_d500_136_0_badger_2013-12-01,45_d500_136_1_badger_2017-06-01,45_d500_136_2_badger_2020-02-01,45_d500_136_3_badger_2017-07-01,45_d500_147_0_badger_2020-02-01,45_d500_152_0_badger_2015-08-01,45_d500_160_0_badger_2009-03-01,45_d500_160_1_badger_2020-02-01,45_d500_191_0_badger_2015-06-01,45_d500_192_0_badger_2017-08-01,45_d500_192_1_badger_2015-09-01,45_d500_99_766_0_badger_2020-02-01,45_d500_99_866_0_badger_2016-08-01,64349048_0_cattle_2018-04-01,64349048_10_cattle_2018-04-01,64349048_1_cattle_2017-12-01,64349048_2_cattle_2018-04-01,64349048_3_cattle_2017-12-01,64349048_4_cattle_2017-12-01,64349048_5_cattle_2017-12-01,64349048_6_cattle_2018-04-01,64349048_7_cattle_2018-04-01,64349048_8_cattle_2018-04-01,64349048_9_cattle_2018-04-01,64349068_0_cattle_2016-07-01,64349068_10_cattle_2016-10-01,64349068_11_cattle_2015-10-01,64349068_12_cattle_2015-04-01,64349068_13_cattle_2016-07-01,64349068_14_cattle_2015-08-01,64349068_15_cattle_2015-10-01,64349068_16_cattle_2016-07-01,64349068_17_cattle_2016-07-01,64349068_18_cattle_2016-07-01,64349068_19_cattle_2016-07-01,64349068_1_cattle_2016-10-01,64349068_20_cattle_2016-02-01,64349068_21_cattle_2016-07-01,64349068_22_cattle_2016-01-01,64349068_23_cattle_2016-07-01,64349068_24_cattle_2016-10-01,64349068_25_cattle_2016-07-01,64349068_26_cattle_2016-07-01,64349068_27_cattle_2016-07-01,64349068_28_cattle_2016-07-01,64349068_29_cattle_2016-07-01,64349068_2_cattle_2016-07-01,64349068_30_cattle_2016-07-01,64349068_31_cattle_2016-07-01,64349068_32_cattle_2016-07-01,64349068_33_cattle_2016-06-01,64349068_34_cattle_2016-07-01,64349068_35_cattle_2016-07-01,64349068_36_cattle_2016-07-01,64349068_37_cattle_2016-07-01,64349068_38_cattle_2016-10-01,64349068_39_cattle_2016-10-01,64349068_3_cattle_2016-07-01,64349068_40_cattle_2016-06-01,64349068_41_cattle_2017-04-01,64349068_42_cattle_2016-07-01,64349068_43_cattle_2016-07-01,64349068_44_cattle_2017-07-01,64349068_4_cattle_2016-07-01,64349068_5_cattle_2016-07-01,64349068_6_cattle_2016-07-01,64349068_7_cattle_2016-07-01,64349068_8_cattle_2016-07-01,64349068_9_cattle_2016-07-01,64349_0_boar_2015-04-01,64349_10_boar_2015-08-01,64349_11_boar_2016-03-01,64349_12_boar_2015-08-01,64349_13_boar_2018-01-01,64349_14_boar_2016-03-01,64349_15_boar_2015-12-01,64349_16_boar_2017-01-01,64349_17_boar_2017-02-01,64349_18_boar_2017-04-01,64349_19_boar_2016-10-01,64349_1_boar_2015-07-01,64349_20_boar_2016-11-01,64349_21_boar_2017-06-01,64349_22_boar_2018-04-01,64349_23_boar_2017-06-01,64349_24_boar_2017-06-01,64349_25_boar_2017-08-01,64349_26_boar_2018-02-01,64349_27_boar_2017-07-01,64349_28_boar_2018-04-01,64349_29_boar_2020-02-01,64349_2_boar_2016-06-01,64349_30_boar_2018-10-01,64349_31_boar_2017-06-01,64349_32_boar_2017-10-01,64349_33_boar_2018-06-01,64349_34_boar_2018-05-01,64349_35_boar_2019-07-01,64349_36_boar_2019-12-01,64349_38_boar_2018-08-01,64349_39_boar_2019-12-01,64349_3_boar_2014-03-01,64349_40_boar_2018-03-01,64349_41_boar_2020-02-01,64349_4_boar_2014-02-01,64349_5_boar_2014-10-01,64349_6_boar_2014-03-01,64349_7_boar_2017-08-01,64349_8_boar_2016-01-01,64349_9_boar_2016-05-01,64367_3_boar_2018-04-01,64420012_0_cattle_2013-06-01,64420012_1_cattle_2013-06-01,64420012_2_cattle_2013-02-01,64420012_3_cattle_2013-06-01,64420012_4_cattle_2013-04-01,64420012_5_cattle_2013-06-01,64420012_6_cattle_2013-04-01,64420015_0_cattle_2009-03-01,64420015_10_cattle_2009-03-01,64420015_11_cattle_2009-03-01,64420015_12_cattle_2009-03-01,64420015_13_cattle_2009-03-01,64420015_14_cattle_2009-03-01,64420015_15_cattle_2009-03-01,64420015_1_cattle_2009-03-01,64420015_2_cattle_2008-06-01,64420015_3_cattle_2007-12-01,64420015_4_cattle_2009-03-01,64420015_5_cattle_2009-03-01,64420015_6_cattle_2009-03-01,64420015_7_cattle_2009-03-01,64420015_8_cattle_2009-03-01,64420015_9_cattle_2009-02-01,64420047_0_cattle_2014-03-01,64512026_0_cattle_2018-01-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11397720455908958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12437512497500672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0.007998400319936016,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
