3_d500_227_0_badger_2020-02-01,3_d500_24_0_badger_2015-07-01,3_d500_24_1_badger_2014-10-01,3_d500_261_0_badger_2018-04-01,3_d500_270_0_badger_2014-08-01,3_d500_270_1_badger_2020-02-01,3_d500_271_0_badger_2015-09-01,3_d500_274_0_badger_2014-07-01,3_d500_274_1_badger_2017-05-01,3_d500_275_0_badger_2013-08-01,3_d500_276_0_badger_2015-05-01,3_d500_282_0_badger_2016-02-01,3_d500_282_1_badger_2016-06-01,3_d500_284_0_badger_2013-02-01,3_d500_284_1_badger_2014-01-01,3_d500_284_2_badger_2019-09-01,3_d500_284_3_badger_2013-06-01,3_d500_285_0_badger_2010-09-01,3_d500_285_1_badger_2018-04-01,3_d500_285_3_badger_2016-10-01,3_d500_303_0_badger_2016-07-01,3_d500_85_0_badger_2020-02-01,3_d500_85_1_badger_2014-05-01,3_d500_85_2_badger_2017-01-01,3_d500_85_3_badger_2016-09-01,3_d500_89_0_badger_2018-06-01,45_d500_100_0_badger_2014-05-01,45_d500_100_1_badger_2014-05-01,45_d500_100_2_badger_2013-07-01,45_d500_102_0_badger_2016-07-01,45_d500_105_726_1_badger_2013-07-01,45_d500_110_0_badger_2013-06-01,45_d500_120_0_badger_2011-10-01,45_d500_152_0_badger_2017-09-01,45_d500_156_0_badger_2014-05-01,45_d500_156_1_badger_2013-02-01,45_d500_156_2_badger_2017-05-01,45_d500_156_3_badger_2017-05-01,45_d500_156_4_badger_2017-12-01,45_d500_160_0_badger_2013-09-01,45_d500_37_579_0_badger_2013-12-01,45_d500_37_579_1_badger_2015-06-01,45_d500_37_579_2_badger_2019-02-01,45_d500_37_579_3_badger_2015-11-01,45_d500_37_760_0_badger_2020-02-01,45_d500_57_605_0_badger_2009-12-01,45_d500_57_605_1_badger_2013-07-01,45_d500_61_0_badger_2013-02-01,45_d500_61_1_badger_2013-12-01,45_d500_61_2_badger_2014-05-01,45_d500_89_0_badger_2014-09-01,45_d500_99_716_0_badger_2013-06-01,45_d500_99_839_0_badger_2008-08-01,45_d500_99_839_1_badger_2013-04-01,45_d500_99_839_2_badger_2009-12-01,45_d500_99_839_3_badger_2013-08-01,45_d500_99_839_4_badger_2014-05-01,45_d500_99_866_0_badger_2014-08-01,45_d500_99_869_0_badger_2016-05-01,64181_0_boar_2018-10-01,64184007_0_cattle_2013-04-01,64184007_1_cattle_2013-04-01,64359045_0_cattle_2011-04-01,64359045_1_cattle_2010-09-01,64359_0_boar_2015-07-01,64359_12_boar_2015-08-01,64359_13_boar_2017-09-01,64359_1_boar_2012-06-01,64359_3_boar_2013-09-01,64387_0_boar_2015-04-01,64393_0_boar_2011-02-01,64393_1_boar_2013-05-01,64393_2_boar_2013-12-01,64393_3_boar_2015-11-01,64393_4_boar_2016-01-01,64393_5_boar_2016-12-01,64393_6_boar_2019-01-01,64420009_0_cattle_2008-10-01,64420009_1_cattle_2012-12-01,64420009_2_cattle_2012-12-01,64420009_3_cattle_2013-02-01,64420009_4_cattle_2013-02-01,64420009_5_cattle_2014-11-01,64420015_0_cattle_2008-08-01,64420015_1_cattle_2008-08-01,64420015_2_cattle_2008-08-01,64420015_3_cattle_2008-07-01,64420015_4_cattle_2008-08-01,64420044_0_cattle_2012-10-01,64420044_10_cattle_2012-10-01,64420044_11_cattle_2012-10-01,64420044_12_cattle_2012-10-01,64420044_13_cattle_2012-10-01,64420044_14_cattle_2012-03-01,64420044_15_cattle_2012-10-01,64420044_16_cattle_2012-10-01,64420044_17_cattle_2012-10-01,64420044_18_cattle_2012-10-01,64420044_19_cattle_2012-10-01,64420044_1_cattle_2012-10-01,64420044_20_cattle_2012-10-01,64420044_21_cattle_2012-10-01,64420044_22_cattle_2012-10-01,64420044_23_cattle_2012-10-01,64420044_24_cattle_2012-09-01,64420044_25_cattle_2012-10-01,64420044_2_cattle_2012-03-01,64420044_3_cattle_2012-10-01,64420044_4_cattle_2012-03-01,64420044_5_cattle_2012-10-01,64420044_6_cattle_2012-10-01,64420044_7_cattle_2012-09-01,64420044_8_cattle_2012-10-01,64420044_9_cattle_2012-05-01,64420047_0_cattle_2013-01-01,64420047_1_cattle_2013-01-01,64521015_0_cattle_2011-04-01,64521015_10_cattle_2011-06-01,64521015_1_cattle_2011-04-01,64521015_2_cattle_2011-04-01,64521015_3_cattle_2011-04-01,64521015_4_cattle_2011-04-01,64521015_5_cattle_2011-06-01,64521015_6_cattle_2011-04-01,64521015_7_cattle_2011-04-01,64521015_8_cattle_2011-04-01,64521015_9_cattle_2011-06-01,64521016_0_cattle_2013-01-01,64521016_1_cattle_2013-03-01,64521016_2_cattle_2013-01-01,64521016_3_cattle_2013-03-01,64521016_4_cattle_2013-03-01,64521016_5_cattle_2013-03-01,64521016_6_cattle_2013-03-01,64521016_7_cattle_2013-03-01,64521016_8_cattle_2013-03-01,64521_0_boar_2015-06-01,64521_2_boar_2017-03-01,64521_3_boar_2013-01-01,64521_4_boar_2017-10-01,64548001_0_cattle_2017-07-01,64548001_1_cattle_2017-03-01,64548001_2_cattle_2017-03-01,64554016_0_cattle_2014-02-01,64554016_1_cattle_2014-04-01,64554022_0_cattle_2014-03-01,64554022_10_cattle_2014-03-01,64554022_11_cattle_2014-05-01,64554022_12_cattle_2014-05-01,64554022_13_cattle_2017-12-01,64554022_14_cattle_2016-02-01,64554022_15_cattle_2016-02-01,64554022_16_cattle_2016-02-01,64554022_17_cattle_2018-02-01,64554022_18_cattle_2017-12-01,64554022_19_cattle_2017-12-01,64554022_1_cattle_2014-03-01,64554022_20_cattle_2018-02-01,64554022_21_cattle_2017-12-01,64554022_22_cattle_2018-02-01,64554022_23_cattle_2017-12-01,64554022_24_cattle_2017-12-01,64554022_25_cattle_2018-02-01,64554022_26_cattle_2018-02-01,64554022_27_cattle_2018-02-01,64554022_28_cattle_2018-02-01,64554022_29_cattle_2018-02-01,64554022_2_cattle_2014-05-01,64554022_30_cattle_2017-12-01,64554022_31_cattle_2018-02-01,64554022_32_cattle_2017-12-01,64554022_33_cattle_2017-12-01,64554022_34_cattle_2018-02-01,64554022_35_cattle_2017-12-01,64554022_36_cattle_2018-02-01,64554022_37_cattle_2017-12-01,64554022_38_cattle_2018-02-01,64554022_39_cattle_2018-02-01,64554022_3_cattle_2013-10-01,64554022_40_cattle_2018-02-01,64554022_41_cattle_2018-02-01,64554022_42_cattle_2018-02-01,64554022_43_cattle_2018-02-01,64554022_44_cattle_2018-02-01,64554022_45_cattle_2018-02-01,64554022_46_cattle_2018-02-01,64554022_47_cattle_2018-02-01,64554022_48_cattle_2018-02-01,64554022_49_cattle_2018-02-01,64554022_4_cattle_2014-05-01,64554022_50_cattle_2018-02-01,64554022_51_cattle_2018-02-01,64554022_52_cattle_2018-02-01,64554022_53_cattle_2018-02-01,64554022_54_cattle_2018-02-01,64554022_5_cattle_2014-05-01,64554022_6_cattle_2014-05-01,64554022_7_cattle_2014-04-01,64554022_8_cattle_2014-05-01,64554022_9_cattle_2014-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02539492101579678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.004799040191961609,0.0015996800639872023,0,9.998000399920016e-4,3.999200159968006e-4,0.005798840231953611,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0.02099580083983199,0,0,3.999200159968006e-4,0.0171965606878624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0.0017996400719856025,0.0023995200959808036,0.029394121175764773,0.022995400919815986,0.0023995200959808036,0.0031993601279744054,3.999200159968006e-4,0.0011997600479904018,0.002599480103979204,7.998400319936012e-4,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0.0023995200959808036,9.998000399920016e-4,0.002199560087982403,9.998000399920016e-4,0.0023995200959808036
0,0,0,0,0.012397520495900807,0,0.005798840231953611,0.08258348330333976,0,0,0,0.04899020195960793,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.017396520695860798,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04839032193561273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.017596480703859198,0.022395520895820788,0.012997400519896006,0.014197160567886403,0.008598280343931215,0.008198360327934416,0,0,0,0,0,0,0,0.008198360327934416,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.29014197160568017,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.02199560087982399,0,0,0,0,0,0,0,0,0,0,0.018396320735852796,0,0,0,0,0,0.012397520495900807,0.01059788042391521,0.014597080583883202,0.008198360327934416,0.00539892021595681
0.0019996000799840027,0,0,0,0,0,0,0,0.03919216156768635,0,0,0,0,0,0,0,0,0,0.13377324535093182,0.009998000399920012,0,0.004199160167966408,0,0.001399720055988802,0,0.19556088782243944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12777444511097963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18256348730254301,0.028394321135772775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.998000399920016e-4,0.012597480503899207,0,0,0,0.4999000199959795,0.012997400519896006,0,0,0,0.008598280343931215,0,0,0,0,0,0,0,0,0,0,0.013797240551889604,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.0019996000799840027,0.019796040791841593,0.03439312137572476,0.09838032393521387,0.012197560487902407,0.007798440311937616,0.0157968406318736,0,0,0,0,0,0,0,0.08338332333533338,0,0,0,0,0,0,0,0,0,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0.03559288142371516,0,0,0,0,0,0,0,0,0,0,0.022395520895820788,0,0,0,0,0,0.018596280743851196,0.022995400919815986,0.0155968806238752,0.009398120375924813,0.07498500299940031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025194961007798382,0,0.00539892021595681,0,0,0,0,0,0,0.017996400719855997,0,0,0,0,0.03639272145570876,0,0,0,0,0,0,0,0.003399320135972806,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0.002999400119976005,0,0.1513697260547916,0,0,0.008398320335932815,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.006998600279944014,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.009998000399920012,0.0157968406318736,0.038392321535692754,0.007598480303939215,0.003399320135972806,0.009398120375924813,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0,0.027594481103779177,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.015996800639872,0,0,0,0,0,0,0,0,0,0,0.009998000399920012,0,0,0,0,0,0.002599480103979204,0.012797440511897606,0.007798440311937616,0.005598880223955211,0.029594081183763173
0,0.0017996400719856025,0.12617476504699238,0,0.009198160367926414,0,0.0023995200959808036,0,0,0,0,0.3039392121575683,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.017796440711857597,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3287342531493673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0157968406318736,0.027594481103779177,0.011997600479904008,0.011597680463907209,0.013397320535892805,0.014397120575884803,0,0,0,0,0,0,0,0.009398120375924813,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.19536092781444103,0,0,0,0,0,0,0,0,0,0,0.02619476104779038,0,0,0,0,0,0,0,0,0,0,0.013997200559888004,0,0,0,0,0,0.011797640471905608,0.009398120375924813,0.01099780043991201,0.006398720255948813,0.008798240351929614
0,0.004199160167966408,0,0.03879224155168955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0.03039392121575677,0,0,0,0.014597080583883202,0,0.012197560487902407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04439112177564474,0.3895220955808744,0.005998800239952012,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.007998400319936016,0,0,0.056388722255548716,0,0,0.04919016196760633,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0.047590481903619135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07698460307938437,0.13357328534293342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,0.005598880223955211,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
